round, train_acc, test_acc, f1, time_stamp
0, 0, 0.1141, 0, 581.6155922412872
1, 0, 0.123, 0, 1164.0247719287872
2, 0, 0.1342, 0, 1746.3330504894257
3, 0, 0.1109, 0, 2328.842162847519
4, 0, 0.1124, 0, 2911.894719362259
5, 0, 0.1358, 0, 3492.7759709358215
6, 0, 0.1298, 0, 4068.3748099803925
7, 0, 0.1377, 0, 4644.3945372104645
8, 0, 0.1256, 0, 5220.531440258026
9, 0, 0.162, 0, 5796.117993116379
10, 0, 0.1505, 0, 6371.119514703751
11, 0, 0.1317, 0, 6946.051699399948
12, 0, 0.1606, 0, 7520.852398395538
13, 0, 0.1627, 0, 8096.100462913513
14, 0, 0.1619, 0, 8671.390177488327
15, 0, 0.158, 0, 9247.23917388916
16, 0, 0.1726, 0, 9822.481477499008
17, 0, 0.182, 0, 10397.463722467422
18, 0, 0.1994, 0, 10972.88005566597
19, 0, 0.199, 0, 11547.943495988846
20, 0, 0.2151, 0, 12123.387075662613
21, 0, 0.2162, 0, 12699.055591344833
22, 0, 0.2222, 0, 13274.511333703995
23, 0, 0.2368, 0, 13849.551354408264
