,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,10,0,0.1273,0,0
1,1,10,0,0.115,0,0
2,2,10,0,0.1819,0,0
3,3,10,0,0.2165,0,0
4,4,10,0,0.1938,0,0
5,5,10,0,0.2116,0,0
6,6,10,0,0.2295,0,0
7,7,10,0,0.2122,0,0
8,8,10,0,0.2501,0,0
9,9,10,0,0.2556,0,0
10,10,10,0,0.26,0,0
11,11,10,0,0.2868,0,0
12,12,10,0,0.2954,0,0
13,13,10,0,0.3079,0,0
14,14,10,0,0.3257,0,0
15,15,10,0,0.3354,0,0
16,16,10,0,0.3484,0,0
17,17,10,0,0.3482,0,0
18,18,10,0,0.3867,0,0
19,19,10,0,0.4022,0,0
20,20,10,0,0.4098,0,0
21,21,10,0,0.4134,0,0
22,22,10,0,0.428,0,0
23,23,10,0,0.4277,0,0
24,24,10,0,0.4353,0,0
25,25,10,0,0.4438,0,0
26,26,10,0,0.4491,0,0
27,27,10,0,0.4574,0,0
28,28,10,0,0.4605,0,0
29,29,10,0,0.4698,0,0
30,30,10,0,0.4766,0,0
31,31,10,0,0.48,0,0
32,32,10,0,0.4828,0,0
33,33,10,0,0.4851,0,0
34,34,10,0,0.4894,0,0
35,35,10,0,0.4932,0,0
36,36,10,0,0.4941,0,0
37,37,10,0,0.503,0,0
38,38,10,0,0.5013,0,0
39,39,10,0,0.5066,0,0
40,40,10,0,0.5106,0,0
41,41,10,0,0.5111,0,0
42,42,10,0,0.5129,0,0
43,43,10,0,0.5182,0,0
44,44,10,0,0.5202,0,0
45,45,10,0,0.5237,0,0
46,46,10,0,0.5257,0,0
47,47,10,0,0.5267,0,0
48,48,10,0,0.5314,0,0
49,49,10,0,0.5348,0,0
