,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,10,0,0.1001,0,0
1,1,10,0,0.1101,0,0
2,2,10,0,0.1002,0,0
3,3,10,0,0.1081,0,0
4,4,10,0,0.1423,0,0
5,5,10,0,0.1353,0,0
6,6,10,0,0.1256,0,0
7,7,10,0,0.1664,0,0
8,8,10,0,0.1617,0,0
9,9,10,0,0.1864,0,0
10,10,10,0,0.1546,0,0
11,11,10,0,0.1779,0,0
12,12,10,0,0.1608,0,0
13,13,10,0,0.163,0,0
14,14,10,0,0.1798,0,0
15,15,10,0,0.1748,0,0
16,16,10,0,0.1784,0,0
17,17,10,0,0.1934,0,0
18,18,10,0,0.193,0,0
19,19,10,0,0.1992,0,0
20,20,10,0,0.1931,0,0
21,21,10,0,0.2029,0,0
22,22,10,0,0.2043,0,0
23,23,10,0,0.2208,0,0
24,24,10,0,0.2289,0,0
25,25,10,0,0.2313,0,0
26,26,10,0,0.2333,0,0
27,27,10,0,0.2381,0,0
28,28,10,0,0.224,0,0
29,29,10,0,0.2345,0,0
30,30,10,0,0.2381,0,0
31,31,10,0,0.2431,0,0
32,32,10,0,0.2484,0,0
33,33,10,0,0.2384,0,0
34,34,10,0,0.2419,0,0
35,35,10,0,0.2568,0,0
36,36,10,0,0.2634,0,0
37,37,10,0,0.2583,0,0
38,38,10,0,0.2557,0,0
39,39,10,0,0.2709,0,0
40,40,10,0,0.2679,0,0
41,41,10,0,0.2658,0,0
42,42,10,0,0.2769,0,0
43,43,10,0,0.2757,0,0
44,44,10,0,0.2806,0,0
45,45,10,0,0.2812,0,0
46,46,10,0,0.2909,0,0
47,47,10,0,0.2941,0,0
48,48,10,0,0.2888,0,0
49,49,10,0,0.2971,0,0
