round, train_acc, test_acc, f1, time_stamp
0, 0, 0.113, 0, 539.344797372818
1, 0, 0.1134, 0, 1080.6839833259583
2, 0, 0.1052, 0, 1623.242176771164
3, 0, 0.1243, 0, 2163.4518196582794
4, 0, 0.1312, 0, 2706.505704164505
5, 0, 0.1409, 0, 3249.3671617507935
6, 0, 0.1339, 0, 3803.1756222248077
7, 0, 0.1386, 0, 4344.683869838715
8, 0, 0.1428, 0, 4885.310214996338
9, 0, 0.1429, 0, 5444.455187559128
10, 0, 0.1635, 0, 5993.9253051280975
11, 0, 0.1317, 0, 6553.678507089615
12, 0, 0.1698, 0, 7115.731930732727
13, 0, 0.1808, 0, 7646.961334228516
14, 0, 0.1704, 0, 8211.900979280472
15, 0, 0.1624, 0, 8766.567498207092
16, 0, 0.1919, 0, 9315.783677101135
17, 0, 0.1883, 0, 9870.35652756691
18, 0, 0.2032, 0, 10419.187858581543
19, 0, 0.2019, 0, 10975.689842939377
20, 0, 0.2191, 0, 11523.564162015915
21, 0, 0.2199, 0, 12079.936681985855
22, 0, 0.2224, 0, 12628.152668237686
23, 0, 0.2292, 0, 13184.575240850449
24, 0, 0.2374, 0, 13732.387388706207
25, 0, 0.2358, 0, 14288.785199165344
26, 0, 0.2473, 0, 14837.700765609741
27, 0, 0.2406, 0, 15392.341007471085
28, 0, 0.2444, 0, 15940.15959572792
29, 0, 0.2439, 0, 16492.97736287117
30, 0, 0.2421, 0, 17048.42392206192
31, 0, 0.2418, 0, 17603.90180158615
32, 0, 0.2477, 0, 18151.51625061035
33, 0, 0.2374, 0, 18706.704632520676
34, 0, 0.2471, 0, 19255.623168945312
35, 0, 0.2547, 0, 19811.27037191391
36, 0, 0.2497, 0, 20360.866755247116
37, 0, 0.2593, 0, 20915.073189735413
38, 0, 0.2542, 0, 21461.952575445175
39, 0, 0.2606, 0, 22017.503541231155
40, 0, 0.2657, 0, 22564.70415377617
41, 0, 0.2635, 0, 23121.10975599289
42, 0, 0.2688, 0, 23668.74689555168
43, 0, 0.2663, 0, 24223.91850233078
44, 0, 0.2691, 0, 24769.67525959015
45, 0, 0.2731, 0, 25325.16631269455
46, 0, 0.2795, 0, 25875.46183681488
47, 0, 0.2739, 0, 26430.944056749344
48, 0, 0.2798, 0, 26982.429772377014
49, 0, 0.2809, 0, 27541.877983808517
