round	train_acc	test_acc	f1	time_stamp	time_hours
0.0	0.0	9.93	0.0	1897.4868865013125	0.527079690694809
1.0	0.0	10.14	0.0	3653.8988070487976	1.0149718908468883
2.0	0.0	10.16	0.0	5348.512126922607	1.4856978130340577
3.0	0.0	12.049999999999999	0.0	7053.741093635559	1.9593725260098775
4.0	0.0	12.44	0.0	8713.79466176033	2.4204985171556475
5.0	0.0	13.59	0.0	10362.151396512983	2.8783753879202734
6.0	0.0	13.200000000000001	0.0	12009.297508478165	3.335915974577268
7.0	0.0	14.979999999999999	0.0	13649.682879209518	3.7915785775581994
8.0	0.0	13.41	0.0	15288.333934783936	4.246759426328871
9.0	0.0	14.7	0.0	16930.34031867981	4.702872310744391
10.0	0.0	13.459999999999999	0.0	18575.302535057068	5.159806259738074
11.0	0.0	15.989999999999998	0.0	20219.32109117508	5.616478080881967
12.0	0.0	16.45	0.0	21868.18463087082	6.07449573079745
13.0	0.0	17.28	0.0	23521.045207977295	6.533623668882582
14.0	0.0	20.82	0.0	25198.07798552513	6.999466107090314
15.0	0.0	19.68	0.0	26901.897360801697	7.47274926688936
16.0	0.0	20.31	0.0	28572.698148965836	7.936860596934954
17.0	0.0	21.4	0.0	30254.689092874527	8.404080303576258
18.0	0.0	21.66	0.0	31934.597625732426	8.870721562703451
19.0	0.0	21.77	0.0	33614.18210577965	9.337272807161014
20.0	0.0	23.200000000000003	0.0	35296.42016220093	9.804561156166924
21.0	0.0	23.419999999999998	0.0	36985.22370004654	10.273673250012928
22.0	0.0	23.06	0.0	38690.87046122551	10.747464017007086
23.0	0.0	24.79	0.0	40410.91046333313	11.225252906481424
24.0	0.0	24.83	0.0	42198.59534907341	11.72183204140928
25.0	0.0	24.63	0.0	43880.95907783508	12.189155299398633
26.0	0.0	24.83	0.0	45517.450048685074	12.643736124634742
27.0	0.0	25.290000000000003	0.0	47146.053860902786	13.096126072472996
28.0	0.0	24.72	0.0	48783.213436841965	13.55089262134499
29.0	0.0	25.419999999999998	0.0	50420.92222118378	14.005811728106604
30.0	0.0	25.240000000000002	0.0	52057.969032526016	14.460546953479449
31.0	0.0	25.16	0.0	53693.6173658371	14.914893712732527
32.0	0.0	24.83	0.0	55330.04389166832	15.369456636574533
33.0	0.0	25.34	0.0	56966.63646888733	15.824065685802037
34.0	0.0	25.85	0.0	58602.87382435799	16.27857606232166
35.0	0.0	26.279999999999998	0.0	60239.98975992203	16.73333048886723
36.0	0.0	25.11	0.0	61876.08239102363	17.18780066417323
37.0	0.0	25.990000000000002	0.0	63522.35163593292	17.645097676648035
38.0	0.0	25.71	0.0	65175.785808324814	18.10438494675689
39.0	0.0	26.490000000000002	0.0	66818.9798309803	18.56082773082786
40.0	0.0	26.669999999999998	0.0	68475.79334568977	19.021053707136048
41.0	0.0	27.12	0.0	70112.5842013359	19.47571783370442
42.0	0.0	27.27	0.0	71749.45155358315	19.930403209328652
43.0	0.0	27.63	0.0	73424.37034964561	20.395658430457114
44.0	0.0	27.150000000000002	0.0	75075.3869805336	20.854274161259333
45.0	0.0	27.860000000000003	0.0	76711.7278137207	21.308813281589085
46.0	0.0	27.939999999999998	0.0	78349.30439519882	21.763695665333007
47.0	0.0	27.839999999999996	0.0	80003.53435206413	22.22320398668448
48.0	0.0	28.64	0.0	81639.08115625381	22.67752254340384
49.0	0.0	28.749999999999996	0.0	83298.11415052414	23.13836504181226
