,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,10,0,0.0993,0,0
1,1,10,0,0.1014,0,0
2,2,10,0,0.1016,0,0
3,3,10,0,0.1205,0,0
4,4,10,0,0.1244,0,0
5,5,10,0,0.1359,0,0
6,6,10,0,0.132,0,0
7,7,10,0,0.1498,0,0
8,8,10,0,0.1341,0,0
9,9,10,0,0.147,0,0
10,10,10,0,0.1346,0,0
11,11,10,0,0.1599,0,0
12,12,10,0,0.1645,0,0
13,13,10,0,0.1728,0,0
14,14,10,0,0.2082,0,0
15,15,10,0,0.1968,0,0
16,16,10,0,0.2031,0,0
17,17,10,0,0.214,0,0
18,18,10,0,0.2166,0,0
19,19,10,0,0.2177,0,0
20,20,10,0,0.232,0,0
21,21,10,0,0.2342,0,0
22,22,10,0,0.2306,0,0
23,23,10,0,0.2479,0,0
24,24,10,0,0.2483,0,0
25,25,10,0,0.2463,0,0
26,26,10,0,0.2483,0,0
27,27,10,0,0.2529,0,0
28,28,10,0,0.2472,0,0
29,29,10,0,0.2542,0,0
30,30,10,0,0.2524,0,0
31,31,10,0,0.2516,0,0
32,32,10,0,0.2483,0,0
33,33,10,0,0.2534,0,0
34,34,10,0,0.2585,0,0
35,35,10,0,0.2628,0,0
36,36,10,0,0.2511,0,0
37,37,10,0,0.2599,0,0
38,38,10,0,0.2571,0,0
39,39,10,0,0.2649,0,0
40,40,10,0,0.2667,0,0
41,41,10,0,0.2712,0,0
42,42,10,0,0.2727,0,0
43,43,10,0,0.2763,0,0
44,44,10,0,0.2715,0,0
45,45,10,0,0.2786,0,0
46,46,10,0,0.2794,0,0
47,47,10,0,0.2784,0,0
48,48,10,0,0.2864,0,0
49,49,10,0,0.2875,0,0
