round, train_acc, test_acc, f1, time_stamp
0, 0, 0.1109, 0, 2562.581845998764
1, 0, 0.098, 0, 5165.412468194962
2, 0, 0.1093, 0, 7695.290651798248
3, 0, 0.1129, 0, 10198.010436296463
4, 0, 0.1179, 0, 12701.800506591797
5, 0, 0.1301, 0, 15211.191840648651
6, 0, 0.1545, 0, 17718.527225494385
7, 0, 0.1771, 0, 20223.917045116425
8, 0, 0.1737, 0, 22733.39370584488
9, 0, 0.2018, 0, 25237.921171426773
10, 0, 0.1997, 0, 27744.413167715073
11, 0, 0.2204, 0, 30246.07487654686
12, 0, 0.2012, 0, 32748.100895404816
13, 0, 0.228, 0, 35247.23993754387
14, 0, 0.2464, 0, 37747.00034713745
15, 0, 0.2433, 0, 40257.92767453194
16, 0, 0.2586, 0, 42758.25204753876
17, 0, 0.2548, 0, 45258.78408885002
18, 0, 0.2495, 0, 47757.42735648155
19, 0, 0.2604, 0, 50255.63918066025
20, 0, 0.258, 0, 52752.82320356369
21, 0, 0.2778, 0, 55250.72707748413
22, 0, 0.2771, 0, 57744.55095553398
23, 0, 0.2879, 0, 60235.883295059204
24, 0, 0.2908, 0, 62739.40934419632
25, 0, 0.2878, 0, 65249.85942316055
26, 0, 0.2957, 0, 67757.81986737251
27, 0, 0.299, 0, 70264.64776706696
28, 0, 0.2985, 0, 72771.93597173691
29, 0, 0.3024, 0, 75279.32008886337
30, 0, 0.2999, 0, 77786.4939198494
31, 0, 0.3031, 0, 80237.88557434082
32, 0, 0.3073, 0, 82652.05502390862
33, 0, 0.3118, 0, 84864.70222091675
34, 0, 0.3194, 0, 87079.89344596863
35, 0, 0.3217, 0, 89411.16342377663
36, 0, 0.3166, 0, 91622.1447045803
37, 0, 0.3242, 0, 93768.40133929253
38, 0, 0.3315, 0, 95940.58203482628
39, 0, 0.3398, 0, 98128.58228111267
40, 0, 0.3445, 0, 100274.57275819778
41, 0, 0.3549, 0, 102442.4493124485
42, 0, 0.3557, 0, 104576.84996342659
43, 0, 0.3602, 0, 106710.30968809128
44, 0, 0.3685, 0, 108844.72525048256
45, 0, 0.374, 0, 110998.71502256393
46, 0, 0.3826, 0, 113144.22759485245
47, 0, 0.3854, 0, 115299.35861587524
48, 0, 0.3903, 0, 117429.06031990051
49, 0, 0.3934, 0, 119542.43583154678
