,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,10,0,0.1298,0,0
1,1,10,0,0.1396,0,0
2,2,10,0,0.1529,0,0
3,3,10,0,0.1717,0,0
4,4,10,0,0.208,0,0
5,5,10,0,0.2258,0,0
6,6,10,0,0.2394,0,0
7,7,10,0,0.2406,0,0
8,8,10,0,0.2608,0,0
9,9,10,0,0.2681,0,0
10,10,10,0,0.2793,0,0
11,11,10,0,0.287,0,0
12,12,10,0,0.2894,0,0
13,13,10,0,0.3039,0,0
14,14,10,0,0.3086,0,0
15,15,10,0,0.3223,0,0
16,16,10,0,0.3326,0,0
17,17,10,0,0.3555,0,0
18,18,10,0,0.3626,0,0
19,19,10,0,0.3748,0,0
20,20,10,0,0.3924,0,0
21,21,10,0,0.4142,0,0
22,22,10,0,0.4212,0,0
23,23,10,0,0.4312,0,0
24,24,10,0,0.4367,0,0
25,25,10,0,0.4399,0,0
26,26,10,0,0.447,0,0
27,27,10,0,0.4561,0,0
28,28,10,0,0.4567,0,0
29,29,10,0,0.4658,0,0
30,30,10,0,0.4728,0,0
31,31,10,0,0.478,0,0
32,32,10,0,0.4803,0,0
33,33,10,0,0.4839,0,0
34,34,10,0,0.487,0,0
35,35,10,0,0.4925,0,0
36,36,10,0,0.4908,0,0
37,37,10,0,0.4993,0,0
38,38,10,0,0.5048,0,0
39,39,10,0,0.5084,0,0
40,40,10,0,0.5084,0,0
41,41,10,0,0.5157,0,0
42,42,10,0,0.5188,0,0
43,43,10,0,0.5304,0,0
44,44,10,0,0.5298,0,0
45,45,10,0,0.5315,0,0
46,46,10,0,0.5353,0,0
47,47,10,0,0.5294,0,0
48,48,10,0,0.5368,0,0
49,49,10,0,0.5372,0,0
