round, train_acc, test_acc, f1, time_stamp
0, 0, 0.1298, 0, 3452.209239244461
1, 0, 0.1396, 0, 6863.469280719757
2, 0, 0.1529, 0, 10121.63189816475
3, 0, 0.1717, 0, 13207.01609826088
4, 0, 0.208, 0, 16113.241357088089
5, 0, 0.2258, 0, 18995.29122686386
6, 0, 0.2394, 0, 21877.910004377365
7, 0, 0.2406, 0, 24758.38177227974
8, 0, 0.2608, 0, 27624.886658906937
9, 0, 0.2681, 0, 30502.380478858948
10, 0, 0.2793, 0, 33380.76210927963
11, 0, 0.287, 0, 36266.07152533531
12, 0, 0.2894, 0, 39154.64692759514
13, 0, 0.3039, 0, 42034.94614315033
14, 0, 0.3086, 0, 44909.77304649353
15, 0, 0.3223, 0, 47784.22301721573
16, 0, 0.3326, 0, 50659.163383722305
17, 0, 0.3555, 0, 53537.85572934151
18, 0, 0.3626, 0, 56397.901106119156
19, 0, 0.3748, 0, 59256.192116737366
20, 0, 0.3924, 0, 62114.69422745705
21, 0, 0.4142, 0, 64967.71939754486
22, 0, 0.4212, 0, 67824.09809494019
23, 0, 0.4312, 0, 70678.27241182327
24, 0, 0.4367, 0, 73531.2474193573
25, 0, 0.4399, 0, 76384.12550067902
26, 0, 0.447, 0, 79242.78464412689
27, 0, 0.4561, 0, 82106.56416249275
28, 0, 0.4567, 0, 84966.48661851883
29, 0, 0.4658, 0, 87823.99016356468
30, 0, 0.4728, 0, 90691.4727358818
31, 0, 0.478, 0, 93546.78983688354
32, 0, 0.4803, 0, 96395.02241182327
33, 0, 0.4839, 0, 99245.52720975876
34, 0, 0.487, 0, 102106.44704675674
35, 0, 0.4925, 0, 104958.72855591774
36, 0, 0.4908, 0, 107821.08214497566
37, 0, 0.4993, 0, 110681.99756741524
38, 0, 0.5048, 0, 113544.19571447372
39, 0, 0.5084, 0, 116404.96981406212
40, 0, 0.5084, 0, 119266.53788900375
41, 0, 0.5157, 0, 122136.58094978333
42, 0, 0.5188, 0, 125004.38307356834
43, 0, 0.5304, 0, 127878.25717234612
44, 0, 0.5298, 0, 130750.71637964249
45, 0, 0.5315, 0, 133609.58486962318
46, 0, 0.5353, 0, 136473.18415164948
47, 0, 0.5294, 0, 139333.38876390457
48, 0, 0.5368, 0, 142192.8613526821
49, 0, 0.5372, 0, 145052.2544915676
