round, train_acc, test_acc, f1, time_stamp
0, 0, 0.1, 0, 533.5798490047455
1, 0, 0.0997, 0, 1065.0483853816986
2, 0, 0.1236, 0, 1592.836586713791
3, 0, 0.1251, 0, 2129.810156583786
4, 0, 0.1109, 0, 2687.4160299301147
5, 0, 0.1315, 0, 3222.3655846118927
6, 0, 0.1555, 0, 3749.7265825271606
7, 0, 0.1514, 0, 4288.192242145538
8, 0, 0.1673, 0, 4826.35538315773
9, 0, 0.1636, 0, 5370.252241134644
10, 0, 0.1532, 0, 5913.629611968994
11, 0, 0.1655, 0, 6452.196469306946
12, 0, 0.1642, 0, 6986.155010938644
13, 0, 0.1728, 0, 7516.995831489563
14, 0, 0.1756, 0, 8058.708064317703
15, 0, 0.1756, 0, 8589.65017080307
16, 0, 0.184, 0, 9127.306513547897
17, 0, 0.1881, 0, 9691.926949739456
18, 0, 0.1971, 0, 10234.688835382462
19, 0, 0.2009, 0, 10782.408810138702
20, 0, 0.198, 0, 11327.505095005035
21, 0, 0.204, 0, 11860.970180988312
22, 0, 0.1981, 0, 12410.60956788063
23, 0, 0.2136, 0, 12964.15849685669
24, 0, 0.2296, 0, 13509.007425308228
25, 0, 0.2267, 0, 14052.08502650261
26, 0, 0.2307, 0, 14595.465272188187
27, 0, 0.2338, 0, 15129.123052120209
28, 0, 0.2214, 0, 15701.509543895721
29, 0, 0.2335, 0, 16238.561272144318
30, 0, 0.2318, 0, 16787.458807706833
31, 0, 0.2479, 0, 17322.817192792892
32, 0, 0.2382, 0, 17854.793404102325
33, 0, 0.2398, 0, 18374.214158058167
34, 0, 0.2454, 0, 18896.869692087173
35, 0, 0.2515, 0, 19409.414060115814
36, 0, 0.2575, 0, 19928.219477891922
37, 0, 0.247, 0, 20452.715777873993
38, 0, 0.2524, 0, 20985.773136377335
39, 0, 0.2624, 0, 21523.440378189087
40, 0, 0.2639, 0, 22074.85212612152
41, 0, 0.2632, 0, 22614.472579479218
42, 0, 0.2648, 0, 23149.582770586014
43, 0, 0.2714, 0, 23685.291614294052
44, 0, 0.2706, 0, 24221.463032245636
45, 0, 0.2741, 0, 24752.11986231804
46, 0, 0.2844, 0, 25296.924839496613
47, 0, 0.2845, 0, 25836.47474050522
48, 0, 0.2847, 0, 26373.373674869537
49, 0, 0.2885, 0, 26913.205893278122
