,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,10,0,0.1,0,0
1,1,10,0,0.0997,0,0
2,2,10,0,0.1236,0,0
3,3,10,0,0.1251,0,0
4,4,10,0,0.1109,0,0
5,5,10,0,0.1315,0,0
6,6,10,0,0.1555,0,0
7,7,10,0,0.1514,0,0
8,8,10,0,0.1673,0,0
9,9,10,0,0.1636,0,0
10,10,10,0,0.1532,0,0
11,11,10,0,0.1655,0,0
12,12,10,0,0.1642,0,0
13,13,10,0,0.1728,0,0
14,14,10,0,0.1756,0,0
15,15,10,0,0.1756,0,0
16,16,10,0,0.184,0,0
17,17,10,0,0.1881,0,0
18,18,10,0,0.1971,0,0
19,19,10,0,0.2009,0,0
20,20,10,0,0.198,0,0
21,21,10,0,0.204,0,0
22,22,10,0,0.1981,0,0
23,23,10,0,0.2136,0,0
24,24,10,0,0.2296,0,0
25,25,10,0,0.2267,0,0
26,26,10,0,0.2307,0,0
27,27,10,0,0.2338,0,0
28,28,10,0,0.2214,0,0
29,29,10,0,0.2335,0,0
30,30,10,0,0.2318,0,0
31,31,10,0,0.2479,0,0
32,32,10,0,0.2382,0,0
33,33,10,0,0.2398,0,0
34,34,10,0,0.2454,0,0
35,35,10,0,0.2515,0,0
36,36,10,0,0.2575,0,0
37,37,10,0,0.247,0,0
38,38,10,0,0.2524,0,0
39,39,10,0,0.2624,0,0
40,40,10,0,0.2639,0,0
41,41,10,0,0.2632,0,0
42,42,10,0,0.2648,0,0
43,43,10,0,0.2714,0,0
44,44,10,0,0.2706,0,0
45,45,10,0,0.2741,0,0
46,46,10,0,0.2844,0,0
47,47,10,0,0.2845,0,0
48,48,10,0,0.2847,0,0
49,49,10,0,0.2885,0,0
