,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,10,0,0.1205,0,0
1,1,10,0,0.1184,0,0
2,2,10,0,0.1358,0,0
3,3,10,0,0.1333,0,0
4,4,10,0,0.1476,0,0
5,5,10,0,0.1666,0,0
6,6,10,0,0.1545,0,0
7,7,10,0,0.1822,0,0
8,8,10,0,0.1764,0,0
9,9,10,0,0.1762,0,0
10,10,10,0,0.1784,0,0
11,11,10,0,0.1958,0,0
12,12,10,0,0.2066,0,0
13,13,10,0,0.2102,0,0
14,14,10,0,0.2208,0,0
15,15,10,0,0.2367,0,0
16,16,10,0,0.236,0,0
17,17,10,0,0.2438,0,0
18,18,10,0,0.2548,0,0
19,19,10,0,0.2608,0,0
20,20,10,0,0.2568,0,0
21,21,10,0,0.2672,0,0
22,22,10,0,0.2657,0,0
23,23,10,0,0.2752,0,0
24,24,10,0,0.285,0,0
25,25,10,0,0.2856,0,0
26,26,10,0,0.2902,0,0
27,27,10,0,0.2957,0,0
28,28,10,0,0.2987,0,0
29,29,10,0,0.304,0,0
30,30,10,0,0.3122,0,0
31,31,10,0,0.3138,0,0
32,32,10,0,0.3163,0,0
33,33,10,0,0.3163,0,0
34,34,10,0,0.319,0,0
35,35,10,0,0.3247,0,0
36,36,10,0,0.3299,0,0
37,37,10,0,0.332,0,0
38,38,10,0,0.336,0,0
39,39,10,0,0.3397,0,0
40,40,10,0,0.3463,0,0
41,41,10,0,0.3455,0,0
42,42,10,0,0.3562,0,0
43,43,10,0,0.3636,0,0
44,44,10,0,0.3724,0,0
45,45,10,0,0.3778,0,0
46,46,10,0,0.3828,0,0
47,47,10,0,0.3895,0,0
48,48,10,0,0.3941,0,0
49,49,10,0,0.4016,0,0
