round, train_acc, test_acc, f1, time_stamp
0, 0, 0.1205, 0, 960.4319369792938
1, 0, 0.1184, 0, 1923.5398616790771
2, 0, 0.1358, 0, 2877.7544293403625
3, 0, 0.1333, 0, 3830.9910299777985
4, 0, 0.1476, 0, 4784.657930612564
5, 0, 0.1666, 0, 5738.784119606018
6, 0, 0.1545, 0, 6694.533486366272
7, 0, 0.1822, 0, 7649.57616519928
8, 0, 0.1764, 0, 8604.017684698105
9, 0, 0.1762, 0, 9559.197371959686
10, 0, 0.1784, 0, 10514.195239543915
11, 0, 0.1958, 0, 11468.288639307022
12, 0, 0.2066, 0, 12424.123154878616
13, 0, 0.2102, 0, 13379.165106534958
14, 0, 0.2208, 0, 14334.046999931335
15, 0, 0.2367, 0, 15289.27568411827
16, 0, 0.236, 0, 16241.54325413704
17, 0, 0.2438, 0, 17194.04566550255
18, 0, 0.2548, 0, 18146.17030620575
19, 0, 0.2608, 0, 19098.87524485588
20, 0, 0.2568, 0, 20051.814445972443
21, 0, 0.2672, 0, 21005.461624622345
22, 0, 0.2657, 0, 21958.090999126434
23, 0, 0.2752, 0, 22911.52213215828
24, 0, 0.285, 0, 23865.18106007576
25, 0, 0.2856, 0, 24835.64550757408
26, 0, 0.2902, 0, 25808.787178754807
27, 0, 0.2957, 0, 26773.535222530365
28, 0, 0.2987, 0, 27720.78849172592
29, 0, 0.304, 0, 28667.347497463226
30, 0, 0.3122, 0, 29618.832867622375
31, 0, 0.3138, 0, 30569.435487270355
32, 0, 0.3163, 0, 31519.625266075134
33, 0, 0.3163, 0, 32471.679941654205
34, 0, 0.319, 0, 33422.21304965019
35, 0, 0.3247, 0, 34373.97212791443
36, 0, 0.3299, 0, 35329.28866124153
37, 0, 0.332, 0, 36285.39711546898
38, 0, 0.336, 0, 37239.153227329254
39, 0, 0.3397, 0, 38193.773082733154
40, 0, 0.3463, 0, 39150.63889670372
41, 0, 0.3455, 0, 40106.124441862106
42, 0, 0.3562, 0, 41062.29257249832
43, 0, 0.3636, 0, 42018.11973404884
44, 0, 0.3724, 0, 42973.11166930199
45, 0, 0.3778, 0, 43921.49960446358
46, 0, 0.3828, 0, 44877.06750702858
47, 0, 0.3895, 0, 45815.33829951286
48, 0, 0.3941, 0, 46812.62093257904
49, 0, 0.4016, 0, 47844.02176117897
