,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,10,0,0.1,0,0
1,1,10,0,0.1002,0,0
2,2,10,0,0.1171,0,0
3,3,10,0,0.1073,0,0
4,4,10,0,0.1444,0,0
5,5,10,0,0.1311,0,0
6,6,10,0,0.1417,0,0
7,7,10,0,0.1581,0,0
8,8,10,0,0.1383,0,0
9,9,10,0,0.1399,0,0
10,10,10,0,0.1385,0,0
11,11,10,0,0.1637,0,0
12,12,10,0,0.1573,0,0
13,13,10,0,0.1571,0,0
14,14,10,0,0.1894,0,0
15,15,10,0,0.159,0,0
16,16,10,0,0.1798,0,0
17,17,10,0,0.1797,0,0
18,18,10,0,0.1723,0,0
19,19,10,0,0.185,0,0
20,20,10,0,0.2038,0,0
21,21,10,0,0.2055,0,0
22,22,10,0,0.2122,0,0
23,23,10,0,0.2249,0,0
24,24,10,0,0.2263,0,0
25,25,10,0,0.2387,0,0
26,26,10,0,0.2438,0,0
27,27,10,0,0.2449,0,0
28,28,10,0,0.2378,0,0
29,29,10,0,0.2386,0,0
30,30,10,0,0.2494,0,0
31,31,10,0,0.2513,0,0
32,32,10,0,0.2473,0,0
33,33,10,0,0.2596,0,0
34,34,10,0,0.259,0,0
35,35,10,0,0.2568,0,0
36,36,10,0,0.254,0,0
37,37,10,0,0.2607,0,0
38,38,10,0,0.2601,0,0
39,39,10,0,0.2654,0,0
40,40,10,0,0.2666,0,0
41,41,10,0,0.2702,0,0
42,42,10,0,0.2718,0,0
43,43,10,0,0.2718,0,0
44,44,10,0,0.2675,0,0
45,45,10,0,0.274,0,0
46,46,10,0,0.2765,0,0
47,47,10,0,0.2786,0,0
48,48,10,0,0.2809,0,0
49,49,10,0,0.2827,0,0
