round, train_acc, test_acc, f1, time_stamp
0, 0, 0.1185, 0, 2015.6999535560608
1, 0, 0.0987, 0, 4032.8583085536957
2, 0, 0.103, 0, 6048.7553589344025
3, 0, 0.121, 0, 8067.4620270729065
4, 0, 0.1369, 0, 10087.591465711594
5, 0, 0.1253, 0, 12106.470969200134
6, 0, 0.1477, 0, 14125.827831029892
7, 0, 0.1684, 0, 16154.861761331558
8, 0, 0.1564, 0, 18185.663358211517
9, 0, 0.1847, 0, 20213.923217773438
10, 0, 0.2046, 0, 22232.723090171814
11, 0, 0.2227, 0, 24246.809797286987
12, 0, 0.2137, 0, 26275.81606721878
13, 0, 0.2269, 0, 28303.68390917778
14, 0, 0.2425, 0, 30333.9964261055
15, 0, 0.2441, 0, 32363.26452946663
16, 0, 0.2506, 0, 34394.726537942886
17, 0, 0.2389, 0, 36420.67861485481
18, 0, 0.2453, 0, 38441.20129108429
19, 0, 0.2534, 0, 40462.88157439232
20, 0, 0.2487, 0, 42477.00153565407
21, 0, 0.2623, 0, 44497.83030772209
22, 0, 0.2637, 0, 46489.746626615524
23, 0, 0.2774, 0, 48473.51988339424
24, 0, 0.2876, 0, 50461.492604494095
25, 0, 0.2808, 0, 52454.889068841934
26, 0, 0.2922, 0, 54437.10028266907
27, 0, 0.2958, 0, 56419.279618263245
28, 0, 0.29, 0, 58401.10838961601
29, 0, 0.2978, 0, 60382.7052128315
30, 0, 0.2928, 0, 62363.531712293625
31, 0, 0.2974, 0, 64348.30972766876
32, 0, 0.3014, 0, 66408.81738829613
33, 0, 0.3032, 0, 68472.28101277351
34, 0, 0.3092, 0, 70454.82510995865
35, 0, 0.314, 0, 72437.27968382835
36, 0, 0.3016, 0, 74420.37765741348
37, 0, 0.3149, 0, 76410.44097018242
38, 0, 0.3139, 0, 78430.9443757534
39, 0, 0.3208, 0, 80449.44327116013
40, 0, 0.3247, 0, 82471.20500922203
41, 0, 0.3315, 0, 84485.26293206215
42, 0, 0.3335, 0, 86507.39118146896
43, 0, 0.338, 0, 88531.95650672913
44, 0, 0.3451, 0, 90551.81954169273
45, 0, 0.3504, 0, 92569.29529976845
46, 0, 0.3537, 0, 94580.6469707489
47, 0, 0.3566, 0, 96561.52812814713
48, 0, 0.3633, 0, 98541.41432905197
49, 0, 0.3655, 0, 100522.93798112869
