round	train_acc	test_acc	f1	time_stamp	time_hours
0.0	0.0	9.84	0.0	3391.9800791740417	0.9422166886594561
1.0	0.0	11.05	0.0	6773.691720247269	1.881581033402019
2.0	0.0	13.73	0.0	10153.463650226591	2.8204065695073863
3.0	0.0	17.23	0.0	13534.533576011658	3.7595926600032383
4.0	0.0	19.509999999999998	0.0	16918.772618055344	4.699659060570929
5.0	0.0	20.54	0.0	20301.238724708557	5.63923297908571
6.0	0.0	23.87	0.0	23683.323583126068	6.578700995312797
7.0	0.0	23.61	0.0	27064.29610300064	7.517860028611289
8.0	0.0	24.44	0.0	30447.003205299377	8.457500890360938
9.0	0.0	25.34	0.0	33829.13851356506	9.39698292043474
10.0	0.0	27.700000000000003	0.0	37212.032126665115	10.33667559074031
11.0	0.0	27.93	0.0	40593.876680374146	11.276076855659484
12.0	0.0	28.849999999999998	0.0	43972.34347295761	12.214539853599337
13.0	0.0	30.12	0.0	47352.44393539429	13.153456648720635
14.0	0.0	29.73	0.0	50726.37381196022	14.090659392211172
15.0	0.0	30.680000000000003	0.0	54109.97258210182	15.030547939472727
16.0	0.0	30.81	0.0	57499.464052438736	15.972073347899649
17.0	0.0	32.29	0.0	60914.268713474274	16.920630198187297
18.0	0.0	31.94	0.0	64249.48962378502	17.847080451051394
19.0	0.0	32.7	0.0	67444.34932374954	18.734541478819317
20.0	0.0	34.32	0.0	70402.47757101059	19.556243769725164
21.0	0.0	36.04	0.0	73492.11950588226	20.41447764052285
22.0	0.0	36.68	0.0	76440.43025231361	21.233452847864893
23.0	0.0	38.96	0.0	79307.14690899849	22.02976303027736
24.0	0.0	39.44	0.0	82254.24020767212	22.8484000576867
25.0	0.0	39.64	0.0	85138.44863724709	23.649569065901968
26.0	0.0	40.81	0.0	88014.79894781113	24.44855526328087
27.0	0.0	42.1	0.0	90872.4124171734	25.24233678254817
28.0	0.0	42.59	0.0	93733.31733179092	26.037032592164145
29.0	0.0	43.81	0.0	96614.22845816612	26.83728568282392
30.0	0.0	44.1	0.0	99497.52470254898	27.638201306263607
31.0	0.0	44.47	0.0	102354.54019665718	28.43181672129366
32.0	0.0	45.47	0.0	105208.18378257751	29.224495495160422
33.0	0.0	45.37	0.0	108061.92620372772	30.0172017232577
34.0	0.0	46.08	0.0	110914.25176811218	30.80951438003116
35.0	0.0	46.6	0.0	113766.45935559271	31.60179426544242
36.0	0.0	46.37	0.0	116617.90601468086	32.393862781855795
37.0	0.0	47.199999999999996	0.0	119469.81415867804	33.18605948852168
38.0	0.0	47.54	0.0	122321.51771831512	33.978199366198645
39.0	0.0	47.81	0.0	125157.10377383232	34.76586215939787
40.0	0.0	48.14	0.0	127979.22381711006	35.54978439364169
41.0	0.0	48.84	0.0	130800.14703774452	36.333374177151256
42.0	0.0	48.75	0.0	133622.15105700493	37.117264182501366
43.0	0.0	49.38	0.0	136444.59528827667	37.90127646896574
44.0	0.0	49.9	0.0	139267.2417933941	38.68534494260947
45.0	0.0	49.7	0.0	142088.86959457395	39.46913044293721
46.0	0.0	50.93	0.0	144910.7634782791	40.25298985507753
47.0	0.0	50.83	0.0	147730.2751121521	41.03618753115336
48.0	0.0	50.77	0.0	150563.42989373207	41.82317497048113
49.0	0.0	51.0	0.0	153386.12204384804	42.60725612329112
