round, train_acc, test_acc, f1, time_stamp
0, 0, 0.1031, 0, 3339.941450357437
1, 0, 0.1303, 0, 6672.798707485199
2, 0, 0.1402, 0, 9995.419312238693
3, 0, 0.1544, 0, 13346.360254526138
4, 0, 0.1783, 0, 16658.750728607178
5, 0, 0.2253, 0, 20000.116713047028
6, 0, 0.2397, 0, 23335.31176495552
7, 0, 0.235, 0, 26653.532223701477
8, 0, 0.2596, 0, 29966.604342460632
9, 0, 0.261, 0, 33290.88146471977
10, 0, 0.2733, 0, 36607.7154340744
11, 0, 0.2795, 0, 39885.59296154976
12, 0, 0.2918, 0, 43218.670724868774
13, 0, 0.2926, 0, 46557.00117921829
14, 0, 0.3022, 0, 49895.39486694336
15, 0, 0.3103, 0, 53229.64402508736
16, 0, 0.3195, 0, 56755.58807682991
17, 0, 0.3234, 0, 60366.119007110596
18, 0, 0.3346, 0, 63780.977897405624
19, 0, 0.3407, 0, 67124.7975127697
20, 0, 0.3527, 0, 70592.64769530296
21, 0, 0.3726, 0, 73947.16365551949
22, 0, 0.3831, 0, 76820.96389627457
23, 0, 0.3997, 0, 79614.245023489
24, 0, 0.4088, 0, 82421.56877398491
25, 0, 0.4141, 0, 85237.01532888412
26, 0, 0.4234, 0, 88022.57204818726
27, 0, 0.4336, 0, 90833.32120871544
28, 0, 0.4415, 0, 93642.60407972336
29, 0, 0.4487, 0, 96458.76867246628
30, 0, 0.453, 0, 99271.47197413445
31, 0, 0.4573, 0, 102076.51146841049
32, 0, 0.4635, 0, 104887.56428670883
33, 0, 0.4664, 0, 107703.9067671299
34, 0, 0.4702, 0, 110524.81015300751
35, 0, 0.4777, 0, 113344.84164977074
36, 0, 0.4806, 0, 116163.60063481331
37, 0, 0.4848, 0, 118976.40133237839
38, 0, 0.4855, 0, 121790.41346287727
39, 0, 0.4902, 0, 124605.32893490791
40, 0, 0.4958, 0, 127440.38895010948
41, 0, 0.4969, 0, 130289.83204722404
42, 0, 0.5008, 0, 133185.48691105843
43, 0, 0.5053, 0, 136009.7327272892
44, 0, 0.5101, 0, 138822.11327958107
45, 0, 0.5113, 0, 141902.95827674866
46, 0, 0.5145, 0, 144755.29108524323
47, 0, 0.5148, 0, 147855.42685961723
48, 0, 0.516, 0, 150816.88888788223
49, 0, 0.5191, 0, 153634.0850236416
