,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,20,0.12348,0.1202,0.1202,"[[0, 0, 0, 0, 0, 0, 9, 435, 556, 0], [0, 0, 1, 0, 0, 0, 21, 248, 730, 0], [0, 0, 0, 0, 0, 0, 35, 454, 511, 0], [0, 0, 0, 1, 0, 0, 41, 543, 415, 0], [0, 0, 0, 1, 0, 0, 36, 500, 463, 0], [0, 0, 0, 0, 0, 0, 30, 569, 401, 0], [0, 0, 0, 0, 0, 0, 40, 492, 468, 0], [0, 0, 0, 0, 0, 0, 23, 436, 541, 0], [0, 0, 0, 0, 0, 0, 4, 271, 725, 0], [0, 0, 0, 0, 0, 0, 8, 187, 805, 0]]"
1,1,20,0.1217,0.1206,0.1206,"[[0, 0, 109, 10, 0, 0, 0, 0, 818, 63], [0, 0, 95, 22, 0, 0, 0, 0, 799, 84], [0, 0, 176, 21, 0, 0, 0, 0, 771, 32], [0, 0, 272, 57, 0, 0, 1, 0, 619, 51], [0, 0, 231, 46, 0, 0, 3, 0, 694, 26], [0, 0, 233, 36, 0, 0, 2, 0, 692, 37], [0, 0, 192, 24, 0, 0, 2, 0, 752, 30], [0, 0, 230, 30, 0, 0, 0, 1, 649, 90], [0, 0, 88, 18, 0, 0, 1, 0, 807, 86], [0, 0, 75, 7, 0, 0, 0, 0, 755, 163]]"
2,2,20,0.15814,0.1617,0.1617,"[[3, 0, 246, 133, 0, 0, 0, 0, 339, 279], [0, 0, 95, 158, 0, 0, 0, 0, 436, 311], [3, 0, 308, 235, 0, 0, 5, 0, 316, 133], [0, 0, 207, 407, 0, 0, 6, 1, 222, 157], [1, 0, 243, 386, 0, 0, 4, 0, 232, 134], [1, 0, 210, 357, 0, 0, 3, 1, 301, 127], [0, 0, 206, 360, 0, 0, 8, 0, 299, 127], [0, 0, 198, 281, 0, 0, 2, 0, 244, 275], [0, 0, 90, 158, 0, 0, 1, 0, 400, 351], [0, 0, 80, 78, 0, 0, 0, 0, 351, 491]]"
3,3,20,0.20386,0.2172,0.2172,"[[281, 0, 81, 109, 0, 0, 8, 0, 241, 280], [29, 0, 104, 156, 0, 0, 40, 0, 369, 302], [87, 0, 283, 291, 0, 0, 84, 0, 127, 128], [12, 0, 202, 470, 0, 0, 52, 0, 105, 159], [23, 0, 245, 385, 0, 0, 139, 0, 85, 123], [19, 0, 238, 416, 0, 0, 57, 3, 149, 118], [8, 0, 219, 327, 0, 0, 259, 0, 77, 110], [16, 0, 203, 330, 0, 0, 38, 1, 155, 257], [70, 0, 55, 162, 0, 0, 2, 0, 375, 336], [17, 0, 92, 81, 0, 0, 23, 0, 284, 503]]"
4,4,20,0.23596,0.2465,0.2465,"[[414, 1, 48, 42, 0, 0, 33, 2, 317, 143], [87, 1, 77, 95, 0, 0, 100, 1, 480, 159], [145, 0, 211, 171, 0, 0, 272, 2, 93, 106], [75, 0, 186, 338, 0, 0, 190, 3, 82, 126], [61, 0, 174, 205, 0, 0, 416, 3, 50, 91], [93, 0, 183, 300, 0, 0, 183, 8, 135, 98], [19, 0, 171, 159, 0, 0, 541, 5, 24, 81], [47, 0, 187, 223, 0, 0, 158, 31, 127, 227], [157, 0, 36, 82, 0, 0, 11, 0, 545, 169], [57, 0, 82, 49, 0, 0, 71, 3, 354, 384]]"
5,5,20,0.2415,0.2543,0.2543,"[[387, 2, 69, 28, 0, 0, 38, 2, 347, 127], [76, 11, 99, 75, 0, 0, 102, 2, 481, 154], [133, 3, 264, 112, 0, 0, 314, 0, 87, 87], [63, 1, 241, 285, 0, 0, 215, 6, 74, 115], [53, 0, 210, 134, 0, 0, 480, 2, 49, 72], [73, 0, 231, 258, 0, 0, 220, 7, 121, 90], [15, 0, 206, 97, 0, 0, 599, 4, 15, 64], [46, 0, 247, 155, 0, 0, 172, 49, 107, 224], [130, 1, 48, 60, 0, 0, 15, 0, 581, 165], [50, 0, 89, 39, 0, 0, 76, 4, 375, 367]]"
6,6,20,0.25166,0.2629,0.2629,"[[414, 3, 84, 22, 0, 0, 38, 6, 308, 125], [80, 26, 102, 63, 0, 0, 93, 8, 454, 174], [143, 6, 275, 94, 0, 0, 316, 13, 62, 91], [62, 2, 266, 258, 0, 0, 213, 20, 69, 110], [57, 0, 231, 114, 0, 0, 472, 15, 38, 73], [72, 2, 260, 245, 0, 0, 214, 21, 100, 86], [17, 0, 212, 76, 0, 0, 608, 18, 8, 61], [53, 4, 268, 119, 0, 0, 149, 100, 83, 224], [151, 5, 48, 54, 0, 0, 12, 5, 536, 189], [61, 1, 79, 34, 0, 0, 75, 9, 329, 412]]"
7,7,20,0.25846,0.2742,0.2742,"[[411, 7, 69, 27, 0, 0, 33, 6, 339, 108], [74, 37, 79, 54, 0, 0, 86, 14, 487, 169], [134, 9, 274, 113, 0, 0, 304, 14, 77, 75], [60, 2, 248, 274, 0, 0, 205, 23, 88, 100], [54, 0, 248, 113, 0, 0, 455, 20, 46, 64], [54, 4, 244, 265, 0, 0, 211, 20, 135, 67], [18, 2, 196, 85, 0, 0, 613, 16, 17, 53], [56, 5, 255, 120, 0, 0, 132, 127, 94, 211], [125, 8, 27, 49, 0, 0, 11, 11, 599, 170], [56, 4, 60, 37, 0, 0, 68, 6, 362, 407]]"
8,8,20,0.26964,0.2883,0.2883,"[[459, 17, 61, 52, 0, 0, 32, 11, 263, 105], [81, 76, 55, 71, 0, 0, 70, 18, 430, 199], [130, 16, 272, 169, 0, 0, 273, 22, 50, 68], [62, 6, 213, 332, 0, 0, 192, 30, 69, 96], [52, 1, 283, 158, 0, 0, 387, 25, 39, 55], [48, 5, 214, 371, 0, 0, 194, 16, 87, 65], [15, 2, 184, 134, 0, 0, 587, 15, 12, 51], [55, 10, 251, 161, 0, 0, 101, 158, 71, 193], [149, 15, 19, 68, 0, 0, 9, 16, 551, 173], [65, 12, 51, 54, 0, 0, 57, 8, 305, 448]]"
9,9,20,0.2811,0.3013,0.3013,"[[434, 19, 62, 46, 0, 0, 28, 16, 312, 83], [61, 111, 39, 57, 0, 0, 58, 18, 445, 211], [116, 16, 330, 149, 0, 0, 243, 26, 68, 52], [62, 10, 215, 318, 0, 1, 185, 26, 85, 98], [50, 2, 346, 129, 0, 0, 347, 31, 47, 48], [38, 9, 259, 348, 0, 1, 171, 15, 103, 56], [16, 1, 199, 124, 0, 0, 581, 15, 17, 47], [59, 16, 261, 139, 0, 0, 85, 186, 77, 177], [129, 20, 20, 58, 0, 0, 10, 16, 608, 139], [59, 17, 35, 53, 0, 0, 52, 11, 329, 444]]"
