round, train_acc, test_acc, f1, time_stamp
0, 0.10808, 0.1095, 0.1095, 632.1668417453766
1, 0.12572, 0.1256, 0.1256, 1262.1572313308716
2, 0.14314, 0.1423, 0.1423, 1890.5612597465515
3, 0.21328, 0.2222, 0.2222, 2507.891429424286
4, 0.22772, 0.2449, 0.2449, 3121.7871499061584
5, 0.24728, 0.2663, 0.2663, 3735.857141494751
6, 0.27134, 0.2891, 0.2891, 4349.356820106506
7, 0.30812, 0.3257, 0.3257, 4962.89506149292
8, 0.33648, 0.3566, 0.3566, 5577.005735635757
9, 0.3631, 0.3886, 0.3886, 6190.090556144714
10, 0.37792, 0.4069, 0.4069, 6803.321355581284
11, 0.38062, 0.4097, 0.4097, 7416.813853025436
12, 0.39184, 0.4187, 0.4187, 8031.278285503387
13, 0.40308, 0.4303, 0.4303, 8645.66173505783
14, 0.41306, 0.4453, 0.4453, 9259.706812143326
15, 0.418, 0.4505, 0.4505, 9874.120483398438
16, 0.42474, 0.4589, 0.4589, 10488.26999759674
17, 0.43396, 0.4644, 0.4644, 11102.403636693954
18, 0.43962, 0.4741, 0.4741, 11717.139422178268
19, 0.43782, 0.472, 0.472, 12330.732037305832
20, 0.4468, 0.4795, 0.4795, 12945.08662724495
21, 0.45096, 0.4875, 0.4875, 13559.291455030441
22, 0.45722, 0.4893, 0.4893, 14173.417415618896
23, 0.46022, 0.4962, 0.4962, 14786.992694854736
24, 0.46262, 0.4983, 0.4983, 15400.438381671906
25, 0.46194, 0.4955, 0.4955, 16014.45511507988
26, 0.46672, 0.5013, 0.5013, 16628.311252117157
27, 0.47192, 0.5001, 0.5001, 17242.25471305847
28, 0.47734, 0.5104, 0.5104, 17856.246332883835
29, 0.4778, 0.5075, 0.5075, 18471.58853840828
30, 0.4834, 0.5129, 0.5129, 19087.618725538254
31, 0.49106, 0.5208, 0.5208, 19708.688280820847
32, 0.4926, 0.5235, 0.5235, 20328.97065591812
33, 0.4941, 0.5236, 0.5236, 20942.61150932312
34, 0.50012, 0.5294, 0.5294, 21551.31006550789
35, 0.5014, 0.529, 0.529, 22171.225984096527
36, 0.49872, 0.5317, 0.5317, 22811.719305753708
37, 0.5019, 0.5327, 0.5327, 23452.312740802765
38, 0.51338, 0.5405, 0.5405, 24091.28403186798
39, 0.51014, 0.5429, 0.5429, 24730.696454524994
40, 0.51346, 0.5466, 0.5466, 25366.439401626587
41, 0.51678, 0.5482, 0.5482, 26000.308129787445
42, 0.51478, 0.5486, 0.5486, 26659.417568206787
43, 0.51888, 0.5512, 0.5512, 27326.06715488434
44, 0.52124, 0.5561, 0.5561, 27992.237381219864
45, 0.52458, 0.5554, 0.5554, 28662.519686937332
46, 0.53, 0.5606, 0.5606, 29338.144635677338
47, 0.52858, 0.5574, 0.5574, 30008.742404937744
48, 0.533, 0.5622, 0.5622, 30684.135472774506
49, 0.53608, 0.5639, 0.5639, 31353.606626033783
