round	train_acc	test_acc	f1	time_stamp	time_hours
0.0	0.0	12.13	0.0	1112.7568082809448	0.3090991134113736
1.0	0.0	11.379999999999999	0.0	2217.206126689911	0.6158905907471974
2.0	0.0	14.85	0.0	3310.5449600219727	0.9195958222283257
3.0	0.0	18.26	0.0	4403.94104552269	1.223316957089636
4.0	0.0	18.09	0.0	5497.4940185546875	1.5270816718207465
5.0	0.0	19.27	0.0	6590.856895446777	1.8307935820685493
6.0	0.0	22.64	0.0	7685.172683477402	2.1347701898548337
7.0	0.0	23.49	0.0	8779.510325670242	2.438752868241734
8.0	0.0	23.799999999999997	0.0	9873.711269378662	2.7426975748274063
9.0	0.0	24.86	0.0	10967.300920724869	3.04647247797913
10.0	0.0	25.380000000000003	0.0	12061.107001543043	3.350307500428623
11.0	0.0	25.56	0.0	13154.71648979187	3.654087913831075
12.0	0.0	26.650000000000002	0.0	14248.249940872192	3.9578472057978313
13.0	0.0	27.67	0.0	15342.004348754885	4.261667874654135
14.0	0.0	28.01	0.0	16435.667354106903	4.565463153918584
15.0	0.0	28.82	0.0	17529.975351333618	4.869437597592672
16.0	0.0	29.94	0.0	18628.7417011261	5.174650472535028
17.0	0.0	30.819999999999997	0.0	19728.04876255989	5.480013545155526
18.0	0.0	31.55	0.0	20815.645265340805	5.782123684816891
19.0	0.0	31.94	0.0	21940.724471330643	6.094645686480734
20.0	0.0	33.52	0.0	23070.92702817917	6.40859084116088
21.0	0.0	33.96	0.0	24199.99862098694	6.722221839163039
22.0	0.0	34.83	0.0	25338.944371700287	7.038595658805635
23.0	0.0	35.63	0.0	26526.581838846207	7.368494955235057
24.0	0.0	37.04	0.0	27711.35590171814	7.697598861588372
25.0	0.0	37.19	0.0	28898.30441904068	8.027306783066855
26.0	0.0	37.92	0.0	30085.452366113663	8.35707010169824
27.0	0.0	39.31	0.0	31278.556619644165	8.688487949901157
28.0	0.0	38.9	0.0	32474.85623216629	9.020793397823969
29.0	0.0	40.160000000000004	0.0	33670.85626029968	9.353015627861023
30.0	0.0	41.22	0.0	34865.52421092987	9.684867836369408
31.0	0.0	42.28	0.0	36054.64076924324	10.015177991456456
32.0	0.0	42.58	0.0	37245.38783288002	10.345941064688894
33.0	0.0	42.46	0.0	38439.282678842545	10.677578521900706
34.0	0.0	43.59	0.0	39645.26843857765	11.01257456627157
35.0	0.0	42.84	0.0	40854.447471141815	11.348457630872726
36.0	0.0	43.3	0.0	42056.92706871033	11.682479741308423
37.0	0.0	43.43	0.0	43268.50849819183	12.01903013838662
38.0	0.0	44.9	0.0	44470.87542104721	12.353020950290892
39.0	0.0	44.690000000000005	0.0	45676.05967116356	12.687794353100989
40.0	0.0	45.019999999999996	0.0	46883.35614156723	13.023154483768675
41.0	0.0	44.64	0.0	48087.369067430496	13.357602518730694
42.0	0.0	45.71	0.0	49295.43357038498	13.693175991773606
43.0	0.0	45.86	0.0	50499.30808138847	14.027585578163466
44.0	0.0	46.01	0.0	51708.82296395302	14.363561934431393
45.0	0.0	46.42	0.0	52914.94383406639	14.698595509462887
46.0	0.0	46.660000000000004	0.0	54111.622928380966	15.031006368994714
47.0	0.0	46.64	0.0	55314.11768460274	15.365032690167427
48.0	0.0	46.760000000000005	0.0	56518.460674762726	15.699572409656312
49.0	0.0	47.5	0.0	57716.27766656875	16.03229935182465
