round, train_acc, test_acc, f1, time_stamp
0, 0, 0.1086, 0, 1274.8694791793823
1, 0, 0.1251, 0, 2506.7836306095123
2, 0, 0.1335, 0, 3558.556304693222
3, 0, 0.1646, 0, 4606.832211017609
4, 0, 0.1914, 0, 5647.49768447876
5, 0, 0.1895, 0, 6679.176114559174
6, 0, 0.2173, 0, 7721.986370563507
7, 0, 0.2322, 0, 8756.965293645859
8, 0, 0.24, 0, 9787.311506271362
9, 0, 0.2472, 0, 10817.807389974594
10, 0, 0.2528, 0, 11847.27464222908
11, 0, 0.2544, 0, 12880.056169748306
12, 0, 0.2635, 0, 13909.935994148254
13, 0, 0.2738, 0, 14941.868606805801
14, 0, 0.2778, 0, 15973.554288864136
15, 0, 0.2854, 0, 17007.567766666412
16, 0, 0.296, 0, 18054.427223682404
17, 0, 0.3024, 0, 19087.30434179306
18, 0, 0.312, 0, 20126.323500156403
19, 0, 0.3163, 0, 21167.300535440445
20, 0, 0.3318, 0, 22209.71031689644
21, 0, 0.3373, 0, 23254.170152425766
22, 0, 0.3455, 0, 24293.7262070179
23, 0, 0.3572, 0, 25329.34593129158
24, 0, 0.3687, 0, 26481.509557008743
25, 0, 0.3758, 0, 27630.06102538109
26, 0, 0.3807, 0, 28784.958280324936
27, 0, 0.3952, 0, 29936.784482955933
28, 0, 0.3913, 0, 31087.96195077896
29, 0, 0.4033, 0, 32241.32970738411
30, 0, 0.4091, 0, 33392.71370148659
31, 0, 0.4193, 0, 34543.95273375511
32, 0, 0.4196, 0, 35693.21916103363
33, 0, 0.4241, 0, 36851.13811421394
34, 0, 0.431, 0, 38008.627091407776
35, 0, 0.4331, 0, 39166.00690436363
36, 0, 0.43, 0, 40324.63997578621
37, 0, 0.4337, 0, 41483.24472427368
38, 0, 0.4471, 0, 42641.4744617939
39, 0, 0.4484, 0, 43795.760385513306
40, 0, 0.448, 0, 44951.82871842384
41, 0, 0.4544, 0, 46108.20894622803
42, 0, 0.4558, 0, 47263.5563352108
43, 0, 0.4583, 0, 48421.63325333595
44, 0, 0.4574, 0, 49588.33334159851
45, 0, 0.4661, 0, 50748.200702667236
46, 0, 0.4647, 0, 51908.929251909256
47, 0, 0.4652, 0, 53069.32992839813
48, 0, 0.4679, 0, 54229.3577105999
49, 0, 0.4718, 0, 55393.046838998795
