,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,10,0,0.1042,0,0
1,1,10,0,0.149,0,0
2,2,10,0,0.1347,0,0
3,3,10,0,0.141,0,0
4,4,10,0,0.1685,0,0
5,5,10,0,0.2161,0,0
6,6,10,0,0.2331,0,0
7,7,10,0,0.2222,0,0
8,8,10,0,0.2525,0,0
9,9,10,0,0.2492,0,0
10,10,10,0,0.2666,0,0
11,11,10,0,0.2791,0,0
12,12,10,0,0.2919,0,0
13,13,10,0,0.3087,0,0
14,14,10,0,0.3122,0,0
15,15,10,0,0.3362,0,0
16,16,10,0,0.3437,0,0
17,17,10,0,0.3482,0,0
18,18,10,0,0.3501,0,0
19,19,10,0,0.3641,0,0
20,20,10,0,0.3734,0,0
21,21,10,0,0.3687,0,0
22,22,10,0,0.3907,0,0
23,23,10,0,0.3952,0,0
24,24,10,0,0.39,0,0
25,25,10,0,0.3983,0,0
26,26,10,0,0.3905,0,0
27,27,10,0,0.4052,0,0
28,28,10,0,0.4104,0,0
29,29,10,0,0.4183,0,0
30,30,10,0,0.4215,0,0
31,31,10,0,0.4202,0,0
32,32,10,0,0.4167,0,0
33,33,10,0,0.4285,0,0
34,34,10,0,0.4253,0,0
35,35,10,0,0.432,0,0
36,36,10,0,0.4335,0,0
37,37,10,0,0.439,0,0
38,38,10,0,0.4391,0,0
39,39,10,0,0.4408,0,0
40,40,10,0,0.4447,0,0
41,41,10,0,0.4446,0,0
42,42,10,0,0.4447,0,0
43,43,10,0,0.4486,0,0
44,44,10,0,0.4616,0,0
45,45,10,0,0.464,0,0
46,46,10,0,0.4646,0,0
47,47,10,0,0.4627,0,0
48,48,10,0,0.4644,0,0
49,49,10,0,0.477,0,0
