,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,10,0,0.1123,0,0
1,1,10,0,0.1597,0,0
2,2,10,0,0.1844,0,0
3,3,10,0,0.2341,0,0
4,4,10,0,0.2416,0,0
5,5,10,0,0.2666,0,0
6,6,10,0,0.2785,0,0
7,7,10,0,0.2977,0,0
8,8,10,0,0.3197,0,0
9,9,10,0,0.335,0,0
10,10,10,0,0.3581,0,0
11,11,10,0,0.3711,0,0
12,12,10,0,0.3909,0,0
13,13,10,0,0.4057,0,0
14,14,10,0,0.4194,0,0
15,15,10,0,0.4265,0,0
16,16,10,0,0.4369,0,0
17,17,10,0,0.4449,0,0
18,18,10,0,0.4514,0,0
19,19,10,0,0.4544,0,0
20,20,10,0,0.4562,0,0
21,21,10,0,0.4661,0,0
22,22,10,0,0.4722,0,0
23,23,10,0,0.47,0,0
24,24,10,0,0.4746,0,0
25,25,10,0,0.478,0,0
26,26,10,0,0.4852,0,0
27,27,10,0,0.4815,0,0
28,28,10,0,0.495,0,0
29,29,10,0,0.4939,0,0
30,30,10,0,0.5002,0,0
31,31,10,0,0.5023,0,0
32,32,10,0,0.5084,0,0
33,33,10,0,0.5065,0,0
34,34,10,0,0.5109,0,0
35,35,10,0,0.5068,0,0
36,36,10,0,0.505,0,0
37,37,10,0,0.5165,0,0
38,38,10,0,0.5255,0,0
39,39,10,0,0.5213,0,0
40,40,10,0,0.5218,0,0
41,41,10,0,0.5217,0,0
42,42,10,0,0.5296,0,0
43,43,10,0,0.5304,0,0
44,44,10,0,0.5329,0,0
45,45,10,0,0.5339,0,0
46,46,10,0,0.5389,0,0
47,47,10,0,0.5419,0,0
48,48,10,0,0.5404,0,0
49,49,10,0,0.5447,0,0
