round, train_acc, test_acc, f1, time_stamp
0, 0, 0.115, 0, 4740.0782351493835
1, 0, 0.1729, 0, 8159.684038639069
2, 0, 0.2083, 0, 11197.425562381744
3, 0, 0.2478, 0, 14253.546923398972
4, 0, 0.2637, 0, 17307.845899820328
5, 0, 0.2985, 0, 20347.435298204422
6, 0, 0.3217, 0, 23396.694549560547
7, 0, 0.3507, 0, 26394.829999923706
8, 0, 0.377, 0, 29416.81674838066
9, 0, 0.3832, 0, 32430.87328672409
10, 0, 0.4081, 0, 35482.41841506958
11, 0, 0.4121, 0, 38542.46852350235
12, 0, 0.4354, 0, 41597.570115327835
13, 0, 0.4457, 0, 44720.98365020752
14, 0, 0.4538, 0, 47876.38195061684
15, 0, 0.4634, 0, 51009.8694794178
16, 0, 0.4682, 0, 54102.24264931679
17, 0, 0.4731, 0, 57146.66044187546
18, 0, 0.4757, 0, 60198.43016433716
19, 0, 0.4825, 0, 63246.95703434944
20, 0, 0.4798, 0, 66299.75700306892
21, 0, 0.4914, 0, 69311.24373364449
22, 0, 0.4984, 0, 72370.77408885956
23, 0, 0.495, 0, 75437.65230441093
24, 0, 0.5038, 0, 78511.75028467178
25, 0, 0.507, 0, 81629.25169181824
26, 0, 0.5084, 0, 84751.07712721825
27, 0, 0.5093, 0, 87870.78192520142
28, 0, 0.5106, 0, 91013.02713251114
29, 0, 0.5104, 0, 94191.73078274727
30, 0, 0.5188, 0, 97345.6717453003
31, 0, 0.5209, 0, 100522.43201947212
32, 0, 0.5308, 0, 103756.78707695007
33, 0, 0.5325, 0, 107173.48592329025
34, 0, 0.5356, 0, 110549.44071531296
35, 0, 0.5323, 0, 113924.0446960926
36, 0, 0.5311, 0, 117608.01317024231
37, 0, 0.54, 0, 121253.54051399231
38, 0, 0.5445, 0, 124591.91099238396
39, 0, 0.5442, 0, 127925.6062874794
40, 0, 0.5447, 0, 131132.8360452652
41, 0, 0.5438, 0, 134315.34301757812
42, 0, 0.5493, 0, 137511.7041463852
43, 0, 0.5468, 0, 140751.10650277138
44, 0, 0.5513, 0, 143966.16228103638
45, 0, 0.5569, 0, 147192.14465212822
46, 0, 0.5534, 0, 150614.0371506214
47, 0, 0.5568, 0, 153802.44367599487
48, 0, 0.5582, 0, 156993.41186738014
49, 0, 0.5641, 0, 160211.18073129654
