round, train_acc, test_acc, f1, time_stamp
0, 0, 0.1, 0, 607.2833824157715
1, 0, 0.1238, 0, 1215.557725906372
2, 0, 0.1286, 0, 1806.2883319854736
3, 0, 0.1513, 0, 2397.363137960434
4, 0, 0.1687, 0, 2992.3193604946136
5, 0, 0.186, 0, 3592.8290503025055
6, 0, 0.1772, 0, 4194.46159029007
7, 0, 0.1742, 0, 4800.037906885147
8, 0, 0.1796, 0, 5394.566267251968
9, 0, 0.1864, 0, 5989.512269258499
10, 0, 0.1873, 0, 6587.044362306595
11, 0, 0.2062, 0, 7191.054299354553
12, 0, 0.207, 0, 7810.235710144043
13, 0, 0.2309, 0, 8431.83781862259
14, 0, 0.235, 0, 9071.628959178925
15, 0, 0.2355, 0, 9705.380443811417
16, 0, 0.2427, 0, 10362.050796508789
17, 0, 0.2476, 0, 11025.000697612762
18, 0, 0.2494, 0, 11651.906661748886
19, 0, 0.2522, 0, 12310.920743465424
20, 0, 0.2532, 0, 12977.340992212296
21, 0, 0.2552, 0, 13644.294253826141
22, 0, 0.2635, 0, 14309.400117397308
23, 0, 0.2691, 0, 14971.429280757904
24, 0, 0.2733, 0, 15628.866673707962
25, 0, 0.2705, 0, 16297.342008113861
26, 0, 0.2761, 0, 16943.38614797592
27, 0, 0.2826, 0, 17533.58447098732
28, 0, 0.2859, 0, 18095.741235256195
29, 0, 0.2925, 0, 18658.88389158249
30, 0, 0.2967, 0, 19225.886479616165
31, 0, 0.3024, 0, 19816.901924610138
32, 0, 0.3061, 0, 20448.258673906326
33, 0, 0.3105, 0, 21098.90797185898
34, 0, 0.3193, 0, 21712.73846936226
35, 0, 0.317, 0, 22357.932827711105
36, 0, 0.3159, 0, 22973.434616804123
37, 0, 0.3233, 0, 23590.05524110794
38, 0, 0.3362, 0, 24215.493819713593
39, 0, 0.339, 0, 24793.27416396141
40, 0, 0.3363, 0, 25371.01931500435
41, 0, 0.3429, 0, 25943.203211545944
42, 0, 0.3538, 0, 26511.223088026047
43, 0, 0.3575, 0, 27086.99547290802
44, 0, 0.3583, 0, 27665.03594493866
45, 0, 0.3653, 0, 28241.66628909111
46, 0, 0.3667, 0, 28809.520018815994
47, 0, 0.3727, 0, 29372.757043123245
48, 0, 0.3783, 0, 29935.216775417328
49, 0, 0.3853, 0, 30498.073937177658
