,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,10,0,0.1,0,0
1,1,10,0,0.1,0,0
2,2,10,0,0.1,0,0
3,3,10,0,0.1069,0,0
4,4,10,0,0.1327,0,0
5,5,10,0,0.1464,0,0
6,6,10,0,0.1493,0,0
7,7,10,0,0.1559,0,0
8,8,10,0,0.1597,0,0
9,9,10,0,0.1611,0,0
10,10,10,0,0.155,0,0
11,11,10,0,0.1627,0,0
12,12,10,0,0.1715,0,0
13,13,10,0,0.168,0,0
14,14,10,0,0.1631,0,0
15,15,10,0,0.1737,0,0
16,16,10,0,0.1743,0,0
17,17,10,0,0.1681,0,0
18,18,10,0,0.1791,0,0
19,19,10,0,0.1715,0,0
20,20,10,0,0.1696,0,0
21,21,10,0,0.1738,0,0
22,22,10,0,0.1763,0,0
23,23,10,0,0.1758,0,0
24,24,10,0,0.1748,0,0
25,25,10,0,0.1775,0,0
26,26,10,0,0.1821,0,0
27,27,10,0,0.1866,0,0
28,28,10,0,0.1843,0,0
29,29,10,0,0.1927,0,0
30,30,10,0,0.1972,0,0
31,31,10,0,0.1958,0,0
32,32,10,0,0.2137,0,0
33,33,10,0,0.2278,0,0
34,34,10,0,0.2356,0,0
35,35,10,0,0.2362,0,0
36,36,10,0,0.2401,0,0
37,37,10,0,0.2416,0,0
38,38,10,0,0.2483,0,0
39,39,10,0,0.2485,0,0
40,40,10,0,0.2466,0,0
41,41,10,0,0.2493,0,0
42,42,10,0,0.2551,0,0
43,43,10,0,0.2542,0,0
44,44,10,0,0.2555,0,0
45,45,10,0,0.2589,0,0
46,46,10,0,0.2663,0,0
47,47,10,0,0.2619,0,0
48,48,10,0,0.2608,0,0
49,49,10,0,0.2643,0,0
