round, train_acc, test_acc, f1, time_stamp
0, 0, 0.1, 0, 335.66066312789917
1, 0, 0.1, 0, 673.9861085414886
2, 0, 0.1, 0, 1011.6950645446777
3, 0, 0.1069, 0, 1349.505045890808
4, 0, 0.1327, 0, 1686.7345356941223
5, 0, 0.1464, 0, 2023.6135611534119
6, 0, 0.1493, 0, 2360.390841960907
7, 0, 0.1559, 0, 2697.6410958766937
8, 0, 0.1597, 0, 3035.2336440086365
9, 0, 0.1611, 0, 3373.0506613254547
10, 0, 0.155, 0, 3710.6156418323517
11, 0, 0.1627, 0, 4048.3238031864166
12, 0, 0.1715, 0, 4386.6587266922
13, 0, 0.168, 0, 4724.728389978409
14, 0, 0.1631, 0, 5061.628662586212
15, 0, 0.1737, 0, 5396.601814031601
16, 0, 0.1743, 0, 5731.465898990631
17, 0, 0.1681, 0, 6066.2690188884735
18, 0, 0.1791, 0, 6401.239177703857
19, 0, 0.1715, 0, 6736.32355761528
20, 0, 0.1696, 0, 7071.302179813385
21, 0, 0.1738, 0, 7406.195534229279
22, 0, 0.1763, 0, 7741.358185768127
23, 0, 0.1758, 0, 8076.388808727264
24, 0, 0.1748, 0, 8411.653602361679
25, 0, 0.1775, 0, 8746.917567491531
26, 0, 0.1821, 0, 9082.256457805634
27, 0, 0.1866, 0, 9417.14797282219
28, 0, 0.1843, 0, 9752.341082811356
29, 0, 0.1927, 0, 10087.558661222458
30, 0, 0.1972, 0, 10423.065182685852
31, 0, 0.1958, 0, 10758.57037782669
32, 0, 0.2137, 0, 11093.838429450989
33, 0, 0.2278, 0, 11429.104436159134
34, 0, 0.2356, 0, 11764.089680671692
35, 0, 0.2362, 0, 12099.293895959854
36, 0, 0.2401, 0, 12434.260433673859
37, 0, 0.2416, 0, 12769.549096822739
38, 0, 0.2483, 0, 13104.747865915298
39, 0, 0.2485, 0, 13439.661566257477
40, 0, 0.2466, 0, 13774.883497953415
41, 0, 0.2493, 0, 14109.769969940186
42, 0, 0.2551, 0, 14445.094672679901
43, 0, 0.2542, 0, 14780.495496988297
44, 0, 0.2555, 0, 15115.925677537918
45, 0, 0.2589, 0, 15451.090835094452
46, 0, 0.2663, 0, 15786.316675186157
47, 0, 0.2619, 0, 16121.599205732346
48, 0, 0.2608, 0, 16456.43567252159
49, 0, 0.2643, 0, 16791.715758562088
