round,train_acc,test_acc,f1,time_stamp,time_hours
0.0,0.0,12.97,0.0,1511.0425863265991,0.41973405175738865
1.0,0.0,11.42,0.0,2920.3985545635223,0.8112218207120896
2.0,0.0,15.93,0.0,4328.213513374329,1.202281531492869
3.0,0.0,17.45,0.0,5750.56933259964,1.5973803701665665
4.0,0.0,17.7,0.0,7172.9901604652405,1.9924972667959002
5.0,0.0,19.7,0.0,8621.133427619934,2.3947592854499815
6.0,0.0,19.650000000000002,0.0,10035.625193595886,2.787673664887746
7.0,0.0,20.830000000000002,0.0,11449.164887189863,3.180323579774962
8.0,0.0,21.27,0.0,12862.565975427628,3.572934993174341
9.0,0.0,22.38,0.0,14281.305728912354,3.9670293691423204
10.0,0.0,23.07,0.0,15705.21704030037,4.3625602889723245
11.0,0.0,24.09,0.0,17114.846128225327,4.754123924507035
12.0,0.0,25.16,0.0,18522.678679466248,5.1451885220739575
13.0,0.0,26.02,0.0,19923.34499835968,5.534262499544355
14.0,0.0,26.919999999999998,0.0,21323.827056646347,5.923285293512874
15.0,0.0,27.22,0.0,22740.085016727448,6.3166902824242905
16.0,0.0,27.98,0.0,24156.20456314087,6.7100568230946855
17.0,0.0,28.46,0.0,25580.592022418976,7.105720006227493
18.0,0.0,29.39,0.0,26968.49377250671,7.491248270140753
19.0,0.0,29.470000000000002,0.0,28391.52256345749,7.886534045404858
20.0,0.0,30.19,0.0,29766.229578256607,8.26839710507128
21.0,0.0,30.819999999999997,0.0,31174.355319023132,8.659543144173092
22.0,0.0,31.61,0.0,32597.22558617592,9.054784885048866
23.0,0.0,32.28,0.0,33972.13884925842,9.436705235905118
24.0,0.0,33.07,0.0,35394.913667440414,9.831920463177893
25.0,0.0,33.629999999999995,0.0,36795.47449636459,10.220965137879054
26.0,0.0,35.449999999999996,0.0,38184.36239814758,10.606767332818773
27.0,0.0,36.54,0.0,39556.67167067528,10.987964352965355
28.0,0.0,37.31,0.0,40954.933690071106,11.376370469464197
29.0,0.0,37.45,0.0,42346.42296075821,11.76289526687728
30.0,0.0,38.92,0.0,43765.41504406929,12.157059734463692
31.0,0.0,39.5,0.0,45159.484427928925,12.544301229980256
32.0,0.0,40.050000000000004,0.0,46578.28978466987,12.938413829074964
33.0,0.0,40.39,0.0,48010.47467088699,13.336242964135275
34.0,0.0,41.410000000000004,0.0,49431.9504609108,13.731097350253
35.0,0.0,41.22,0.0,50741.81538534165,14.094948718150459
36.0,0.0,41.78,0.0,52068.34185123443,14.463428292009564
37.0,0.0,42.16,0.0,53388.32846856117,14.830091241266992
38.0,0.0,43.04,0.0,54692.19471168518,15.19227630880144
39.0,0.0,43.18,0.0,56107.7608230114,15.585489117503165
40.0,0.0,43.8,0.0,57578.20113539696,15.993944759832488
41.0,0.0,44.17,0.0,59053.588317871094,16.40377453274197
42.0,0.0,44.519999999999996,0.0,60532.35168218613,16.81454213394059
43.0,0.0,45.300000000000004,0.0,62006.80838084221,17.224113439122835
44.0,0.0,45.29,0.0,63470.885494709015,17.63080152630806
45.0,0.0,45.5,0.0,64939.15857625008,18.038655160069467
46.0,0.0,45.32,0.0,66412.14518117905,18.44781810588307
47.0,0.0,45.85,0.0,67886.58939194679,18.857385942207443
48.0,0.0,46.650000000000006,0.0,69351.70367074013,19.264362130761146
49.0,0.0,46.58,0.0,70810.92065048218,19.669700180689492
