round, train_acc, test_acc, f1, time_stamp
0, 0, 0.1297, 0, 1511.0425863265991
1, 0, 0.1142, 0, 2920.3985545635223
2, 0, 0.1593, 0, 4328.213513374329
3, 0, 0.1745, 0, 5750.56933259964
4, 0, 0.177, 0, 7172.9901604652405
5, 0, 0.197, 0, 8621.133427619934
6, 0, 0.1965, 0, 10035.625193595886
7, 0, 0.2083, 0, 11449.164887189865
8, 0, 0.2127, 0, 12862.565975427628
9, 0, 0.2238, 0, 14281.305728912354
10, 0, 0.2307, 0, 15705.21704030037
11, 0, 0.2409, 0, 17114.846128225327
12, 0, 0.2516, 0, 18522.678679466248
13, 0, 0.2602, 0, 19923.34499835968
14, 0, 0.2692, 0, 21323.827056646347
15, 0, 0.2722, 0, 22740.085016727448
16, 0, 0.2798, 0, 24156.20456314087
17, 0, 0.2846, 0, 25580.592022418976
18, 0, 0.2939, 0, 26968.493772506714
19, 0, 0.2947, 0, 28391.52256345749
20, 0, 0.3019, 0, 29766.229578256607
21, 0, 0.3082, 0, 31174.355319023132
22, 0, 0.3161, 0, 32597.22558617592
23, 0, 0.3228, 0, 33972.13884925842
24, 0, 0.3307, 0, 35394.913667440414
25, 0, 0.3363, 0, 36795.47449636459
26, 0, 0.3545, 0, 38184.36239814758
27, 0, 0.3654, 0, 39556.67167067528
28, 0, 0.3731, 0, 40954.933690071106
29, 0, 0.3745, 0, 42346.42296075821
30, 0, 0.3892, 0, 43765.41504406929
31, 0, 0.395, 0, 45159.484427928925
32, 0, 0.4005, 0, 46578.289784669876
33, 0, 0.4039, 0, 48010.47467088699
34, 0, 0.4141, 0, 49431.9504609108
35, 0, 0.4122, 0, 50741.815385341644
36, 0, 0.4178, 0, 52068.341851234436
37, 0, 0.4216, 0, 53388.32846856117
38, 0, 0.4304, 0, 54692.19471168518
39, 0, 0.4318, 0, 56107.7608230114
40, 0, 0.438, 0, 57578.20113539696
41, 0, 0.4417, 0, 59053.588317871094
42, 0, 0.4452, 0, 60532.35168218613
43, 0, 0.453, 0, 62006.80838084221
44, 0, 0.4529, 0, 63470.885494709015
45, 0, 0.455, 0, 64939.158576250076
46, 0, 0.4532, 0, 66412.14518117905
47, 0, 0.4585, 0, 67886.58939194679
48, 0, 0.4665, 0, 69351.70367074013
49, 0, 0.4658, 0, 70810.92065048218
