round, train_acc, test_acc, f1, time_stamp
0, 0, 0.1, 0, 351.68936800956726
1, 0, 0.1, 0, 706.6014451980591
2, 0, 0.102, 0, 1060.723655462265
3, 0, 0.1276, 0, 1413.919733285904
4, 0, 0.147, 0, 1767.26069521904
5, 0, 0.152, 0, 2121.18910074234
6, 0, 0.1534, 0, 2476.042826652527
7, 0, 0.1638, 0, 2829.85986495018
8, 0, 0.1739, 0, 3184.174108505249
9, 0, 0.1614, 0, 3537.296933889389
10, 0, 0.1665, 0, 3891.0006999969482
11, 0, 0.168, 0, 4245.353417396545
12, 0, 0.1824, 0, 4599.011910200119
13, 0, 0.183, 0, 4952.707758188248
14, 0, 0.1752, 0, 5306.476776838303
15, 0, 0.1847, 0, 5660.383039712906
16, 0, 0.1828, 0, 6014.74601149559
17, 0, 0.1826, 0, 6369.2088713645935
18, 0, 0.1828, 0, 6721.719373226166
19, 0, 0.1831, 0, 7069.96032333374
20, 0, 0.1757, 0, 7417.558948516846
21, 0, 0.1797, 0, 7765.631551504135
22, 0, 0.1834, 0, 8113.160264253616
23, 0, 0.1881, 0, 8460.657251119614
24, 0, 0.1894, 0, 8808.757124185562
25, 0, 0.1877, 0, 9157.244839191437
26, 0, 0.1887, 0, 9505.44987654686
27, 0, 0.1934, 0, 9853.420057296753
28, 0, 0.1935, 0, 10201.186269283295
29, 0, 0.1967, 0, 10548.930541038513
30, 0, 0.2001, 0, 10897.125881433487
31, 0, 0.2001, 0, 11244.920297145844
32, 0, 0.21, 0, 11592.87937283516
33, 0, 0.2247, 0, 11940.511686086655
34, 0, 0.2326, 0, 12289.196739912033
35, 0, 0.2381, 0, 12637.263903856277
36, 0, 0.2418, 0, 12985.551406145096
37, 0, 0.2388, 0, 13333.329362154007
38, 0, 0.2455, 0, 13681.268699407578
39, 0, 0.247, 0, 14029.554009914398
40, 0, 0.2451, 0, 14377.469789981842
41, 0, 0.2513, 0, 14725.332712650299
42, 0, 0.2528, 0, 15072.956224441528
43, 0, 0.2555, 0, 15420.87653684616
44, 0, 0.2567, 0, 15769.026755332947
45, 0, 0.2592, 0, 16117.442373275757
46, 0, 0.2623, 0, 16465.67373418808
47, 0, 0.2621, 0, 16813.697211503983
48, 0, 0.2659, 0, 17161.99557542801
49, 0, 0.2656, 0, 17510.56012415886
