,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,10,0,0.1049,0,0
1,1,10,0,0.1002,0,0
2,2,10,0,0.1093,0,0
3,3,10,0,0.1205,0,0
4,4,10,0,0.1254,0,0
5,5,10,0,0.1399,0,0
6,6,10,0,0.1462,0,0
7,7,10,0,0.1529,0,0
8,8,10,0,0.1564,0,0
9,9,10,0,0.1824,0,0
10,10,10,0,0.2074,0,0
11,11,10,0,0.2164,0,0
12,12,10,0,0.2248,0,0
13,13,10,0,0.2364,0,0
14,14,10,0,0.2393,0,0
15,15,10,0,0.2468,0,0
16,16,10,0,0.2434,0,0
17,17,10,0,0.2552,0,0
18,18,10,0,0.255,0,0
19,19,10,0,0.2596,0,0
20,20,10,0,0.2726,0,0
21,21,10,0,0.272,0,0
22,22,10,0,0.283,0,0
23,23,10,0,0.293,0,0
24,24,10,0,0.2985,0,0
25,25,10,0,0.3154,0,0
26,26,10,0,0.3157,0,0
27,27,10,0,0.32,0,0
28,28,10,0,0.3299,0,0
29,29,10,0,0.3346,0,0
30,30,10,0,0.3362,0,0
31,31,10,0,0.3408,0,0
32,32,10,0,0.3406,0,0
33,33,10,0,0.351,0,0
34,34,10,0,0.3564,0,0
35,35,10,0,0.3533,0,0
36,36,10,0,0.3617,0,0
37,37,10,0,0.3699,0,0
38,38,10,0,0.3737,0,0
39,39,10,0,0.3771,0,0
40,40,10,0,0.3809,0,0
41,41,10,0,0.3814,0,0
42,42,10,0,0.3893,0,0
43,43,10,0,0.3864,0,0
44,44,10,0,0.3925,0,0
45,45,10,0,0.404,0,0
46,46,10,0,0.3982,0,0
47,47,10,0,0.4039,0,0
48,48,10,0,0.407,0,0
49,49,10,0,0.4069,0,0
