,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,10,0,0.1072,0,0
1,1,10,0,0.1077,0,0
2,2,10,0,0.1153,0,0
3,3,10,0,0.1121,0,0
4,4,10,0,0.1099,0,0
5,5,10,0,0.1244,0,0
6,6,10,0,0.1271,0,0
7,7,10,0,0.1323,0,0
8,8,10,0,0.1378,0,0
9,9,10,0,0.1385,0,0
10,10,10,0,0.1446,0,0
11,11,10,0,0.1491,0,0
12,12,10,0,0.1567,0,0
13,13,10,0,0.1514,0,0
14,14,10,0,0.15,0,0
15,15,10,0,0.1647,0,0
16,16,10,0,0.1775,0,0
17,17,10,0,0.1762,0,0
18,18,10,0,0.1747,0,0
19,19,10,0,0.1841,0,0
20,20,10,0,0.1904,0,0
21,21,10,0,0.1744,0,0
22,22,10,0,0.197,0,0
23,23,10,0,0.2025,0,0
24,24,10,0,0.2105,0,0
25,25,10,0,0.2115,0,0
26,26,10,0,0.2264,0,0
27,27,10,0,0.2365,0,0
28,28,10,0,0.2363,0,0
29,29,10,0,0.233,0,0
30,30,10,0,0.2366,0,0
31,31,10,0,0.2274,0,0
32,32,10,0,0.2368,0,0
33,33,10,0,0.2321,0,0
34,34,10,0,0.2445,0,0
35,35,10,0,0.2389,0,0
36,36,10,0,0.2441,0,0
37,37,10,0,0.2439,0,0
38,38,10,0,0.2445,0,0
39,39,10,0,0.2453,0,0
40,40,10,0,0.2521,0,0
41,41,10,0,0.2564,0,0
42,42,10,0,0.2549,0,0
43,43,10,0,0.2558,0,0
44,44,10,0,0.2645,0,0
45,45,10,0,0.2657,0,0
46,46,10,0,0.2688,0,0
47,47,10,0,0.2711,0,0
48,48,10,0,0.2715,0,0
49,49,10,0,0.2789,0,0
