round	train_acc	test_acc	f1	time_stamp	time_hours
0.0	0.0	10.0	0.0	593.607673406601	0.16489102039072248
1.0	0.0	13.139999999999999	0.0	1190.2006149291992	0.33061128192477757
2.0	0.0	12.97	0.0	1789.114625453949	0.4969762848483192
3.0	0.0	14.62	0.0	2382.959584712982	0.6619332179758284
4.0	0.0	16.7	0.0	2974.156881570816	0.8261546893252267
5.0	0.0	17.57	0.0	3565.8381440639496	0.9905105955733193
6.0	0.0	17.71	0.0	4157.740524053574	1.1549279233482148
7.0	0.0	17.11	0.0	4748.537973880768	1.319038326077991
8.0	0.0	17.71	0.0	5338.665410280228	1.48296261396673
9.0	0.0	18.060000000000002	0.0	5930.093765735626	1.6472482682598961
10.0	0.0	18.16	0.0	6522.919366836548	1.8119220463434855
11.0	0.0	19.259999999999998	0.0	7110.935904502869	1.975259973473019
12.0	0.0	19.13	0.0	7703.654231548309	2.1399039532078636
13.0	0.0	19.43	0.0	8297.781098365784	2.3049391939904953
14.0	0.0	22.16	0.0	8892.574004650116	2.4701594457361433
15.0	0.0	23.599999999999998	0.0	9489.52677154541	2.635979658762614
16.0	0.0	24.23	0.0	10084.06860756874	2.801130168769095
17.0	0.0	24.4	0.0	10676.81556367874	2.965782101021872
18.0	0.0	24.68	0.0	11271.203205108644	3.1308897791968455
19.0	0.0	25.0	0.0	11870.534116744995	3.297370587984721
20.0	0.0	24.93	0.0	12467.599979639052	3.463222216566403
21.0	0.0	25.03	0.0	13066.950679302216	3.6297085220283933
22.0	0.0	25.52	0.0	13664.568351984024	3.795713431106673
23.0	0.0	25.91	0.0	14262.26749777794	3.9617409716049834
24.0	0.0	26.14	0.0	14859.05114197731	4.1275142061048085
25.0	0.0	26.3	0.0	15454.168701648712	4.292824639346865
26.0	0.0	26.650000000000002	0.0	16051.61483335495	4.458781898154153
27.0	0.0	27.27	0.0	16648.496748924255	4.624582430256738
28.0	0.0	27.560000000000002	0.0	17245.289215564728	4.790358115434646
29.0	0.0	27.839999999999996	0.0	17843.260468244553	4.956461241179042
30.0	0.0	28.610000000000003	0.0	18437.42622947693	5.121507285965814
31.0	0.0	28.82	0.0	19032.475095510483	5.286798637641801
32.0	0.0	29.42	0.0	19631.94948744774	5.453319302068817
33.0	0.0	29.7	0.0	20228.790316343307	5.619108421206474
34.0	0.0	30.240000000000002	0.0	20826.560198307037	5.785155610640843
35.0	0.0	30.45	0.0	21420.44414997101	5.950123374991946
36.0	0.0	30.34	0.0	22012.4993724823	6.114583159022861
37.0	0.0	31.14	0.0	22605.906146526337	6.279418374035093
38.0	0.0	32.26	0.0	23199.87761926651	6.444410449796253
39.0	0.0	32.09	0.0	23792.70602107048	6.609085005852911
40.0	0.0	32.56	0.0	24385.304683208466	6.773695745335685
41.0	0.0	32.76	0.0	24981.062253952023	6.9391839594311175
42.0	0.0	33.550000000000004	0.0	25576.541410923004	7.104594836367501
43.0	0.0	34.21	0.0	26175.164764642715	7.270879101289643
44.0	0.0	34.38	0.0	26774.86675429344	7.437462987303734
45.0	0.0	35.19	0.0	27367.42146372795	7.602061517702209
46.0	0.0	35.410000000000004	0.0	27960.24158000946	7.76673377222485
47.0	0.0	35.44	0.0	28555.41913509369	7.932060870859358
48.0	0.0	35.620000000000005	0.0	29152.185284376144	8.09782924566004
49.0	0.0	36.66	0.0	29746.66748523712	8.262963190343644
