round, train_acc, test_acc, f1, time_stamp
0, 0, 0.1, 0, 677.585590839386
1, 0, 0.1277, 0, 1357.5842819213867
2, 0, 0.1653, 0, 2032.1048674583435
3, 0, 0.1621, 0, 2707.7235054969788
4, 0, 0.1529, 0, 3385.8716056346893
5, 0, 0.1822, 0, 4058.5116267204285
6, 0, 0.1816, 0, 4730.0380692481995
7, 0, 0.1691, 0, 5399.073672056198
8, 0, 0.1777, 0, 6067.125756978989
9, 0, 0.1818, 0, 6736.908108711243
10, 0, 0.1797, 0, 7406.221987724304
11, 0, 0.2016, 0, 8079.800765752792
12, 0, 0.2095, 0, 8752.300343036652
13, 0, 0.2333, 0, 9422.846720457077
14, 0, 0.2388, 0, 10096.45778298378
15, 0, 0.2416, 0, 10769.701054573059
16, 0, 0.2463, 0, 11446.355154037476
17, 0, 0.2491, 0, 12118.215827226639
18, 0, 0.248, 0, 12788.003402471542
19, 0, 0.2542, 0, 13461.94626402855
20, 0, 0.2554, 0, 14135.750086307526
21, 0, 0.2555, 0, 14807.833801984787
22, 0, 0.2658, 0, 15481.191182613373
23, 0, 0.2721, 0, 16156.018231630325
24, 0, 0.2752, 0, 16830.00245499611
25, 0, 0.2752, 0, 17503.993177890778
26, 0, 0.2779, 0, 18173.993651628494
27, 0, 0.2867, 0, 18847.010954141617
28, 0, 0.2876, 0, 19519.741349697113
29, 0, 0.2963, 0, 20189.94828724861
30, 0, 0.3021, 0, 20860.982011318207
31, 0, 0.3037, 0, 21531.43870449066
32, 0, 0.3081, 0, 22204.107953071594
33, 0, 0.3141, 0, 22875.48792028427
34, 0, 0.3207, 0, 23548.452606916428
35, 0, 0.3211, 0, 24222.39973115921
36, 0, 0.3207, 0, 24894.066500902176
37, 0, 0.3297, 0, 25567.636215686798
38, 0, 0.342, 0, 26242.960796117783
39, 0, 0.3405, 0, 26915.90957069397
40, 0, 0.3393, 0, 27588.24412536621
41, 0, 0.3461, 0, 28260.288637399673
42, 0, 0.361, 0, 28931.636528015137
43, 0, 0.3639, 0, 29604.145235061646
44, 0, 0.3666, 0, 30293.599494695663
45, 0, 0.3699, 0, 30980.865046977997
46, 0, 0.3743, 0, 31655.581367731094
47, 0, 0.3749, 0, 32343.78757739067
48, 0, 0.3763, 0, 33023.73730659485
49, 0, 0.3946, 0, 33692.98254609108
