round, train_acc, test_acc, f1, time_stamp
0, 0, 0.1243, 0, 1196.8370027542114
1, 0, 0.1433, 0, 2369.262599468231
2, 0, 0.1617, 0, 3534.2018616199493
3, 0, 0.191, 0, 4701.213584423065
4, 0, 0.1807, 0, 5871.870079994202
5, 0, 0.1962, 0, 7031.804298877716
6, 0, 0.2263, 0, 8202.866347789764
7, 0, 0.2312, 0, 9373.898004770279
8, 0, 0.2373, 0, 10545.297094345093
9, 0, 0.2469, 0, 11706.396914720535
10, 0, 0.2545, 0, 12882.698032617569
11, 0, 0.2588, 0, 14042.433656930923
12, 0, 0.2687, 0, 15221.643827915192
13, 0, 0.2791, 0, 16404.315775871277
14, 0, 0.2861, 0, 17575.077281475067
15, 0, 0.2965, 0, 18747.250375270844
16, 0, 0.3086, 0, 19912.707993030548
17, 0, 0.3167, 0, 21084.63459444046
18, 0, 0.322, 0, 22240.40625190735
19, 0, 0.3234, 0, 23413.381132364273
20, 0, 0.3456, 0, 24576.173548936844
21, 0, 0.3482, 0, 25735.820337295532
22, 0, 0.3571, 0, 26902.352684020996
23, 0, 0.3659, 0, 28067.415794849396
24, 0, 0.3736, 0, 29248.69691824913
25, 0, 0.3895, 0, 30410.419553995132
26, 0, 0.3858, 0, 31580.973786354065
27, 0, 0.3938, 0, 32759.954646110535
28, 0, 0.4069, 0, 33923.236830711365
29, 0, 0.4021, 0, 35092.873861312866
30, 0, 0.4131, 0, 36259.93603157997
31, 0, 0.424, 0, 37434.70780968666
32, 0, 0.4353, 0, 38595.012841939926
33, 0, 0.4289, 0, 39765.93405842781
34, 0, 0.442, 0, 40945.61461830139
35, 0, 0.4316, 0, 42126.91551232338
36, 0, 0.4378, 0, 43294.20543670654
37, 0, 0.4446, 0, 44466.47722911835
38, 0, 0.4538, 0, 45640.99881482124
39, 0, 0.4546, 0, 46796.86922454834
40, 0, 0.4532, 0, 47970.74908590317
41, 0, 0.4531, 0, 49135.815666913986
42, 0, 0.461, 0, 50297.00638961792
43, 0, 0.4666, 0, 51470.49473142624
44, 0, 0.4707, 0, 52627.73041152954
45, 0, 0.4707, 0, 53794.969529390335
46, 0, 0.4685, 0, 54971.7174782753
47, 0, 0.475, 0, 56149.31112527847
48, 0, 0.4762, 0, 57325.10005092621
49, 0, 0.4799, 0, 58503.27026963234
