,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,10,0,0.1213,0,0
1,1,10,0,0.1138,0,0
2,2,10,0,0.1485,0,0
3,3,10,0,0.1826,0,0
4,4,10,0,0.1809,0,0
5,5,10,0,0.1927,0,0
6,6,10,0,0.2264,0,0
7,7,10,0,0.2349,0,0
8,8,10,0,0.238,0,0
9,9,10,0,0.2486,0,0
10,10,10,0,0.2538,0,0
11,11,10,0,0.2556,0,0
12,12,10,0,0.2665,0,0
13,13,10,0,0.2767,0,0
14,14,10,0,0.2801,0,0
15,15,10,0,0.2882,0,0
16,16,10,0,0.2994,0,0
17,17,10,0,0.3082,0,0
18,18,10,0,0.3155,0,0
19,19,10,0,0.3194,0,0
20,20,10,0,0.3352,0,0
21,21,10,0,0.3396,0,0
22,22,10,0,0.3483,0,0
23,23,10,0,0.3563,0,0
24,24,10,0,0.3704,0,0
25,25,10,0,0.3719,0,0
26,26,10,0,0.3792,0,0
27,27,10,0,0.3931,0,0
28,28,10,0,0.389,0,0
29,29,10,0,0.4016,0,0
30,30,10,0,0.4122,0,0
31,31,10,0,0.4228,0,0
32,32,10,0,0.4258,0,0
33,33,10,0,0.4246,0,0
34,34,10,0,0.4359,0,0
35,35,10,0,0.4284,0,0
36,36,10,0,0.433,0,0
37,37,10,0,0.4343,0,0
38,38,10,0,0.449,0,0
39,39,10,0,0.4469,0,0
40,40,10,0,0.4502,0,0
41,41,10,0,0.4464,0,0
42,42,10,0,0.4571,0,0
43,43,10,0,0.4586,0,0
44,44,10,0,0.4601,0,0
45,45,10,0,0.4642,0,0
46,46,10,0,0.4666,0,0
47,47,10,0,0.4664,0,0
48,48,10,0,0.4676,0,0
49,49,10,0,0.475,0,0
