,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,10,0,0.1086,0,0
1,1,10,0,0.1251,0,0
2,2,10,0,0.1335,0,0
3,3,10,0,0.1646,0,0
4,4,10,0,0.1914,0,0
5,5,10,0,0.1895,0,0
6,6,10,0,0.2173,0,0
7,7,10,0,0.2322,0,0
8,8,10,0,0.24,0,0
9,9,10,0,0.2472,0,0
10,10,10,0,0.2528,0,0
11,11,10,0,0.2544,0,0
12,12,10,0,0.2635,0,0
13,13,10,0,0.2738,0,0
14,14,10,0,0.2778,0,0
15,15,10,0,0.2854,0,0
16,16,10,0,0.296,0,0
17,17,10,0,0.3024,0,0
18,18,10,0,0.312,0,0
19,19,10,0,0.3163,0,0
20,20,10,0,0.3318,0,0
21,21,10,0,0.3373,0,0
22,22,10,0,0.3455,0,0
23,23,10,0,0.3572,0,0
24,24,10,0,0.3687,0,0
25,25,10,0,0.3758,0,0
26,26,10,0,0.3807,0,0
27,27,10,0,0.3952,0,0
28,28,10,0,0.3913,0,0
29,29,10,0,0.4033,0,0
30,30,10,0,0.4091,0,0
31,31,10,0,0.4193,0,0
32,32,10,0,0.4196,0,0
33,33,10,0,0.4241,0,0
34,34,10,0,0.431,0,0
35,35,10,0,0.4331,0,0
36,36,10,0,0.43,0,0
37,37,10,0,0.4337,0,0
38,38,10,0,0.4471,0,0
39,39,10,0,0.4484,0,0
40,40,10,0,0.448,0,0
41,41,10,0,0.4544,0,0
42,42,10,0,0.4558,0,0
43,43,10,0,0.4583,0,0
44,44,10,0,0.4574,0,0
45,45,10,0,0.4661,0,0
46,46,10,0,0.4647,0,0
47,47,10,0,0.4652,0,0
48,48,10,0,0.4679,0,0
49,49,10,0,0.4718,0,0
