round, train_acc, test_acc, f1, time_stamp
0, 0, 0.1086, 0, 964.1609351634979
1, 0, 0.1251, 0, 1921.2204627990723
2, 0, 0.1335, 0, 2867.25305891037
3, 0, 0.1646, 0, 3821.825171470642
4, 0, 0.1914, 0, 4775.841188430786
5, 0, 0.1895, 0, 5717.821146965027
6, 0, 0.2173, 0, 6661.286473989487
7, 0, 0.2322, 0, 7612.617615938187
8, 0, 0.24, 0, 8552.877279758453
9, 0, 0.2472, 0, 9483.309906244278
10, 0, 0.2528, 0, 10440.332112073898
11, 0, 0.2544, 0, 11371.827127933502
12, 0, 0.2635, 0, 12308.308822154999
13, 0, 0.2738, 0, 13271.525195121765
14, 0, 0.2778, 0, 14239.077419519424
15, 0, 0.2854, 0, 15198.505544185638
16, 0, 0.296, 0, 16172.495920419693
17, 0, 0.3024, 0, 17110.91289830208
18, 0, 0.312, 0, 17964.09780406952
19, 0, 0.3163, 0, 18771.385264873505
20, 0, 0.3318, 0, 19578.18209886551
21, 0, 0.3373, 0, 20385.390637636185
22, 0, 0.3455, 0, 21192.67538881302
23, 0, 0.3572, 0, 21999.005237579346
24, 0, 0.3687, 0, 22805.758521795273
25, 0, 0.3758, 0, 23612.93914079666
26, 0, 0.3807, 0, 24420.487199783325
27, 0, 0.3952, 0, 25227.325174093246
28, 0, 0.3913, 0, 26034.97287249565
29, 0, 0.4033, 0, 26841.80586528778
30, 0, 0.4091, 0, 27650.160982370377
31, 0, 0.4193, 0, 28458.68631529808
32, 0, 0.4196, 0, 29266.752094984055
33, 0, 0.4241, 0, 30074.96224951744
34, 0, 0.431, 0, 30878.193960428238
35, 0, 0.4331, 0, 31682.78564929962
36, 0, 0.43, 0, 32488.14100909233
37, 0, 0.4337, 0, 33293.652787446976
38, 0, 0.4471, 0, 34099.333159446716
39, 0, 0.4484, 0, 34911.40678834915
40, 0, 0.448, 0, 35922.51989650726
41, 0, 0.4544, 0, 36949.1233291626
42, 0, 0.4558, 0, 37973.690865039825
43, 0, 0.4583, 0, 39001.444514751434
44, 0, 0.4574, 0, 40039.42059016228
45, 0, 0.4661, 0, 41071.1165561676
46, 0, 0.4647, 0, 42101.618591070175
47, 0, 0.4652, 0, 43126.29817175865
48, 0, 0.4679, 0, 44163.7410492897
49, 0, 0.4718, 0, 45197.74141263962
