,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,10,0,0.0999,0,0
1,1,10,0,0.1,0,0
2,2,10,0,0.1,0,0
3,3,10,0,0.1,0,0
4,4,10,0,0.1001,0,0
5,5,10,0,0.1012,0,0
6,6,10,0,0.12,0,0
7,7,10,0,0.1197,0,0
8,8,10,0,0.1373,0,0
9,9,10,0,0.1487,0,0
10,10,10,0,0.1749,0,0
11,11,10,0,0.2504,0,0
12,12,10,0,0.2875,0,0
13,13,10,0,0.3178,0,0
14,14,10,0,0.332,0,0
15,15,10,0,0.3348,0,0
16,16,10,0,0.3915,0,0
17,17,10,0,0.4063,0,0
18,18,10,0,0.4049,0,0
19,19,10,0,0.4073,0,0
20,20,10,0,0.4235,0,0
21,21,10,0,0.4251,0,0
22,22,10,0,0.4306,0,0
23,23,10,0,0.4376,0,0
24,24,10,0,0.4463,0,0
25,25,10,0,0.4531,0,0
26,26,10,0,0.4586,0,0
27,27,10,0,0.4688,0,0
28,28,10,0,0.4665,0,0
29,29,10,0,0.4689,0,0
30,30,10,0,0.4771,0,0
31,31,10,0,0.4807,0,0
32,32,10,0,0.4828,0,0
33,33,10,0,0.4933,0,0
34,34,10,0,0.4968,0,0
35,35,10,0,0.4985,0,0
36,36,10,0,0.4989,0,0
37,37,10,0,0.5083,0,0
38,38,10,0,0.5037,0,0
39,39,10,0,0.5128,0,0
40,40,10,0,0.5126,0,0
41,41,10,0,0.5184,0,0
42,42,10,0,0.5148,0,0
43,43,10,0,0.5236,0,0
44,44,10,0,0.5281,0,0
45,45,10,0,0.5329,0,0
46,46,10,0,0.5345,0,0
47,47,10,0,0.5379,0,0
48,48,10,0,0.5393,0,0
49,49,10,0,0.539,0,0
