,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,10,0,0.0987,0,0
1,1,10,0,0.139,0,0
2,2,10,0,0.1253,0,0
3,3,10,0,0.1509,0,0
4,4,10,0,0.1911,0,0
5,5,10,0,0.171,0,0
6,6,10,0,0.2266,0,0
7,7,10,0,0.2364,0,0
8,8,10,0,0.231,0,0
9,9,10,0,0.2415,0,0
10,10,10,0,0.2447,0,0
11,11,10,0,0.2587,0,0
12,12,10,0,0.267,0,0
13,13,10,0,0.2803,0,0
14,14,10,0,0.2739,0,0
15,15,10,0,0.2892,0,0
16,16,10,0,0.2859,0,0
17,17,10,0,0.2978,0,0
18,18,10,0,0.2915,0,0
19,19,10,0,0.2979,0,0
20,20,10,0,0.3078,0,0
21,21,10,0,0.3091,0,0
22,22,10,0,0.3246,0,0
23,23,10,0,0.3304,0,0
24,24,10,0,0.3447,0,0
25,25,10,0,0.3548,0,0
26,26,10,0,0.3679,0,0
27,27,10,0,0.3857,0,0
28,28,10,0,0.3866,0,0
29,29,10,0,0.3918,0,0
30,30,10,0,0.4032,0,0
31,31,10,0,0.402,0,0
32,32,10,0,0.4119,0,0
33,33,10,0,0.4159,0,0
34,34,10,0,0.4235,0,0
35,35,10,0,0.4311,0,0
36,36,10,0,0.432,0,0
37,37,10,0,0.4425,0,0
38,38,10,0,0.4444,0,0
39,39,10,0,0.4498,0,0
40,40,10,0,0.4571,0,0
41,41,10,0,0.4615,0,0
42,42,10,0,0.4602,0,0
43,43,10,0,0.4713,0,0
44,44,10,0,0.4709,0,0
45,45,10,0,0.4756,0,0
46,46,10,0,0.48,0,0
47,47,10,0,0.4815,0,0
48,48,10,0,0.4829,0,0
49,49,10,0,0.4853,0,0
