,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,10,0,0.1267,0,0
1,1,10,0,0.128,0,0
2,2,10,0,0.1621,0,0
3,3,10,0,0.1904,0,0
4,4,10,0,0.1807,0,0
5,5,10,0,0.2265,0,0
6,6,10,0,0.2227,0,0
7,7,10,0,0.2333,0,0
8,8,10,0,0.2368,0,0
9,9,10,0,0.2474,0,0
10,10,10,0,0.2583,0,0
11,11,10,0,0.263,0,0
12,12,10,0,0.2752,0,0
13,13,10,0,0.2874,0,0
14,14,10,0,0.3019,0,0
15,15,10,0,0.3095,0,0
16,16,10,0,0.3159,0,0
17,17,10,0,0.3319,0,0
18,18,10,0,0.334,0,0
19,19,10,0,0.3368,0,0
20,20,10,0,0.3581,0,0
21,21,10,0,0.3598,0,0
22,22,10,0,0.3733,0,0
23,23,10,0,0.3825,0,0
24,24,10,0,0.3895,0,0
25,25,10,0,0.4028,0,0
26,26,10,0,0.4016,0,0
27,27,10,0,0.4078,0,0
28,28,10,0,0.4161,0,0
29,29,10,0,0.4181,0,0
30,30,10,0,0.4228,0,0
31,31,10,0,0.432,0,0
32,32,10,0,0.444,0,0
33,33,10,0,0.4376,0,0
34,34,10,0,0.4487,0,0
35,35,10,0,0.4405,0,0
36,36,10,0,0.443,0,0
37,37,10,0,0.4481,0,0
38,38,10,0,0.4588,0,0
39,39,10,0,0.4542,0,0
40,40,10,0,0.4586,0,0
41,41,10,0,0.4632,0,0
42,42,10,0,0.4685,0,0
43,43,10,0,0.4698,0,0
44,44,10,0,0.474,0,0
45,45,10,0,0.4722,0,0
46,46,10,0,0.4739,0,0
47,47,10,0,0.4815,0,0
48,48,10,0,0.4803,0,0
49,49,10,0,0.483,0,0
