round, train_acc, test_acc, f1, time_stamp
0, 0, 0.1267, 0, 1847.1384580135345
1, 0, 0.128, 0, 3570.852103471756
2, 0, 0.1621, 0, 5162.506287097931
3, 0, 0.1904, 0, 6659.171534061432
4, 0, 0.1807, 0, 8194.204491853714
5, 0, 0.2265, 0, 9752.610604524612
6, 0, 0.2227, 0, 11313.626722097397
7, 0, 0.2333, 0, 12854.5728058815
8, 0, 0.2368, 0, 14400.688874721527
9, 0, 0.2474, 0, 15968.763047933578
10, 0, 0.2583, 0, 17504.36587524414
11, 0, 0.263, 0, 18993.729553699493
12, 0, 0.2752, 0, 20493.97628569603
13, 0, 0.2874, 0, 22000.82439851761
14, 0, 0.3019, 0, 23494.562592744827
15, 0, 0.3095, 0, 24982.208325624466
16, 0, 0.3159, 0, 26478.674889802933
17, 0, 0.3319, 0, 27980.95664215088
18, 0, 0.334, 0, 29485.64571785927
19, 0, 0.3368, 0, 30990.622087717056
20, 0, 0.3581, 0, 32495.217960119247
21, 0, 0.3598, 0, 33989.5260925293
22, 0, 0.3733, 0, 35492.76002407074
23, 0, 0.3825, 0, 36994.562311172485
24, 0, 0.3895, 0, 38497.20794558525
25, 0, 0.4028, 0, 39999.61883211136
26, 0, 0.4016, 0, 41507.00448298454
27, 0, 0.4078, 0, 42975.31551480293
28, 0, 0.4161, 0, 44440.077308893204
29, 0, 0.4181, 0, 45868.163402080536
30, 0, 0.4228, 0, 47325.88223981857
31, 0, 0.432, 0, 48770.530215740204
32, 0, 0.444, 0, 50223.80199408531
33, 0, 0.4376, 0, 51698.89578843117
34, 0, 0.4487, 0, 53180.57161307335
35, 0, 0.4405, 0, 54657.9620244503
36, 0, 0.443, 0, 56137.34786081314
37, 0, 0.4481, 0, 57614.11074948311
38, 0, 0.4588, 0, 59092.83884310722
39, 0, 0.4542, 0, 60574.27120041847
40, 0, 0.4586, 0, 62058.7764005661
41, 0, 0.4632, 0, 63543.14683389664
42, 0, 0.4685, 0, 65021.32182574272
43, 0, 0.4698, 0, 66499.5863711834
44, 0, 0.474, 0, 67972.45305299759
45, 0, 0.4722, 0, 69463.15046191216
46, 0, 0.4739, 0, 70960.01446342468
47, 0, 0.4815, 0, 72414.83312773705
48, 0, 0.4803, 0, 73886.4816095829
49, 0, 0.483, 0, 75342.87680220604
