round, train_acc, test_acc, f1, time_stamp
0, 0, 0.0986, 0, 2391.5078608989716
1, 0, 0.1009, 0, 4769.273659944534
2, 0, 0.1179, 0, 7148.1377782821655
3, 0, 0.1211, 0, 9527.370775938034
4, 0, 0.1586, 0, 11905.25462269783
5, 0, 0.1357, 0, 14284.36437535286
6, 0, 0.1996, 0, 16697.84966492653
7, 0, 0.2175, 0, 19087.71466231346
8, 0, 0.185, 0, 21491.752254486084
9, 0, 0.214, 0, 23869.5625603199
10, 0, 0.2195, 0, 26305.383038043976
11, 0, 0.2472, 0, 28692.925997257233
12, 0, 0.2504, 0, 31077.267973423004
13, 0, 0.2581, 0, 33472.49171042442
14, 0, 0.2556, 0, 35878.170285224915
15, 0, 0.2718, 0, 38253.65331864357
16, 0, 0.2782, 0, 40629.61432361603
17, 0, 0.2811, 0, 43004.496116399765
18, 0, 0.2666, 0, 45378.33280920982
19, 0, 0.288, 0, 47752.45766544342
20, 0, 0.2905, 0, 50128.36186146736
21, 0, 0.2938, 0, 52484.432762145996
22, 0, 0.295, 0, 54913.77509665489
23, 0, 0.3027, 0, 57270.39749574661
24, 0, 0.3087, 0, 59626.67255234718
25, 0, 0.2999, 0, 61983.670590400696
26, 0, 0.3121, 0, 64340.235894203186
27, 0, 0.3162, 0, 66697.9504365921
28, 0, 0.3151, 0, 69053.39417934418
29, 0, 0.3272, 0, 71406.10400438309
30, 0, 0.3261, 0, 73759.37280416489
31, 0, 0.3352, 0, 76111.45091891289
32, 0, 0.3361, 0, 78452.4990272522
33, 0, 0.3541, 0, 80772.6069073677
34, 0, 0.3619, 0, 83092.37104964256
35, 0, 0.368, 0, 85408.66078352928
36, 0, 0.3742, 0, 87728.42204928398
37, 0, 0.3856, 0, 90050.46058750153
38, 0, 0.3931, 0, 92370.12082219124
39, 0, 0.4003, 0, 94689.14592719078
40, 0, 0.408, 0, 97004.01427960396
41, 0, 0.4129, 0, 99298.42304944992
42, 0, 0.4116, 0, 101595.22960829735
43, 0, 0.4181, 0, 103890.7487437725
44, 0, 0.421, 0, 106186.2321190834
45, 0, 0.4241, 0, 108480.9314134121
46, 0, 0.4347, 0, 110775.89991235733
47, 0, 0.4351, 0, 113070.31441760063
48, 0, 0.4355, 0, 115364.06967568398
49, 0, 0.4412, 0, 117659.66346812248
