round, train_acc, test_acc, f1, time_stamp
0, 0, 0.1019, 0, 2776.0753531455994
1, 0, 0.1148, 0, 5550.332467556
2, 0, 0.1211, 0, 8321.27368593216
3, 0, 0.1324, 0, 11093.137669801712
4, 0, 0.1633, 0, 13865.695791721344
5, 0, 0.1581, 0, 16635.403715133667
6, 0, 0.1822, 0, 19333.013964653015
7, 0, 0.2123, 0, 21900.992567777634
8, 0, 0.2369, 0, 24345.12617301941
9, 0, 0.2375, 0, 26885.389162778854
10, 0, 0.2424, 0, 29355.970066785812
11, 0, 0.2479, 0, 31746.277523756027
12, 0, 0.2622, 0, 34143.69553852081
13, 0, 0.2623, 0, 36559.64138627052
14, 0, 0.2661, 0, 38935.54088163376
15, 0, 0.2779, 0, 41325.93486094475
16, 0, 0.2796, 0, 43686.33671498299
17, 0, 0.2884, 0, 46046.87184214592
18, 0, 0.2869, 0, 48416.24764084816
19, 0, 0.2921, 0, 50792.01097655296
20, 0, 0.2934, 0, 53177.74904537201
21, 0, 0.305, 0, 55535.567118406296
22, 0, 0.3081, 0, 57869.611980199814
23, 0, 0.3136, 0, 60178.93055009842
24, 0, 0.3245, 0, 62487.088326215744
25, 0, 0.3329, 0, 64794.520075559616
26, 0, 0.3354, 0, 67101.5759563446
27, 0, 0.3511, 0, 69408.6869738102
28, 0, 0.3518, 0, 71717.55443835258
29, 0, 0.362, 0, 74025.49919366837
30, 0, 0.3737, 0, 76332.8366701603
31, 0, 0.3727, 0, 78639.52334833145
32, 0, 0.3856, 0, 80947.03080415726
33, 0, 0.3954, 0, 83254.04913449287
34, 0, 0.403, 0, 85560.73877739906
35, 0, 0.4087, 0, 87868.64185667038
36, 0, 0.408, 0, 90175.98899507523
37, 0, 0.4204, 0, 92483.38416481018
38, 0, 0.4267, 0, 94790.56030321121
39, 0, 0.4303, 0, 97098.24005031586
40, 0, 0.4357, 0, 99406.96202349663
41, 0, 0.4447, 0, 101714.29258012772
42, 0, 0.4428, 0, 104034.69361519814
43, 0, 0.4545, 0, 106339.30729413033
44, 0, 0.458, 0, 108620.93451857567
45, 0, 0.4569, 0, 110898.49687123299
46, 0, 0.4612, 0, 113176.39739656448
47, 0, 0.4664, 0, 115537.16467022896
48, 0, 0.4672, 0, 117868.30783557892
49, 0, 0.4702, 0, 120156.79582190514
