round, train_acc, test_acc, f1, time_stamp
0, 0, 0.1, 0, 2580.562490463257
1, 0, 0.1, 0, 5121.100066900253
2, 0, 0.1, 0, 7665.4905660152435
3, 0, 0.1, 0, 10212.268989086151
4, 0, 0.1001, 0, 12753.312258720398
5, 0, 0.1, 0, 15308.034244537354
6, 0, 0.1, 0, 17893.174347877502
7, 0, 0.1, 0, 20449.897524118423
8, 0, 0.1007, 0, 22998.24548983574
9, 0, 0.0999, 0, 25539.774209022522
10, 0, 0.1002, 0, 28099.207300186157
11, 0, 0.1001, 0, 30652.605865240097
12, 0, 0.1, 0, 33210.37509250641
13, 0, 0.1, 0, 35765.43073010445
14, 0, 0.1157, 0, 38331.23645067215
15, 0, 0.1, 0, 40890.88970565796
16, 0, 0.1, 0, 43442.51095581055
17, 0, 0.104, 0, 45991.8910138607
18, 0, 0.1016, 0, 48542.7287774086
19, 0, 0.1, 0, 51091.6411356926
20, 0, 0.1147, 0, 53639.645535707474
21, 0, 0.1805, 0, 56189.25787425041
22, 0, 0.1376, 0, 58754.19495511055
23, 0, 0.1163, 0, 61344.50844287872
24, 0, 0.1546, 0, 63964.5474281311
25, 0, 0.1761, 0, 66555.14148926735
26, 0, 0.1982, 0, 69140.93118429184
27, 0, 0.2312, 0, 71734.65281891823
28, 0, 0.2361, 0, 74334.84083914757
29, 0, 0.2731, 0, 76928.76210260391
30, 0, 0.2979, 0, 79538.27242970467
31, 0, 0.3017, 0, 82133.95711660385
32, 0, 0.3368, 0, 84725.81869673729
33, 0, 0.3694, 0, 87340.96315145493
34, 0, 0.3808, 0, 89947.47483921051
35, 0, 0.3965, 0, 92547.93389678001
36, 0, 0.4032, 0, 95150.04029250145
37, 0, 0.4142, 0, 97745.72029948235
38, 0, 0.4199, 0, 100343.61516809464
39, 0, 0.4319, 0, 102933.46278333664
40, 0, 0.4357, 0, 105527.36161851883
41, 0, 0.4423, 0, 108138.41644835472
42, 0, 0.4482, 0, 110752.347676754
43, 0, 0.45, 0, 113351.44798588753
44, 0, 0.4589, 0, 115950.85400390625
45, 0, 0.4624, 0, 118540.06609892845
46, 0, 0.4733, 0, 121126.03422808647
47, 0, 0.4818, 0, 123711.00358724594
48, 0, 0.4815, 0, 126362.22137284279
49, 0, 0.4889, 0, 129067.06460928917
