round, train_acc, test_acc, f1, time_stamp
0, 0, 0.1, 0, 2404.808047056198
1, 0, 0.1, 0, 4848.378668308258
2, 0, 0.1, 0, 7376.616858482361
3, 0, 0.1302, 0, 9891.214656829834
4, 0, 0.1598, 0, 12399.89810013771
5, 0, 0.1268, 0, 14946.525458574295
6, 0, 0.1192, 0, 17448.735528707504
7, 0, 0.1495, 0, 19575.139642238617
8, 0, 0.1583, 0, 21580.851531028748
9, 0, 0.2199, 0, 23831.833775997162
10, 0, 0.2524, 0, 26186.2819545269
11, 0, 0.2984, 0, 28543.10855293274
12, 0, 0.3471, 0, 30899.046010255814
13, 0, 0.3631, 0, 33245.51786875725
14, 0, 0.3836, 0, 35604.716589450836
15, 0, 0.389, 0, 37968.22098207474
16, 0, 0.4013, 0, 40354.31112790108
17, 0, 0.4121, 0, 42775.72310447693
18, 0, 0.4132, 0, 45218.069559812546
19, 0, 0.422, 0, 47655.86643528938
20, 0, 0.4267, 0, 50283.48961496353
21, 0, 0.4311, 0, 53710.02963805199
22, 0, 0.4416, 0, 56729.601140499115
23, 0, 0.448, 0, 59581.88845849037
24, 0, 0.4544, 0, 62041.70398950577
25, 0, 0.4604, 0, 64238.905025720596
26, 0, 0.474, 0, 66582.82041215897
27, 0, 0.4787, 0, 68918.50139021873
28, 0, 0.4799, 0, 71251.43649506569
29, 0, 0.4708, 0, 73586.40499401093
30, 0, 0.4866, 0, 75914.34945559502
31, 0, 0.4837, 0, 78244.87570810318
32, 0, 0.4852, 0, 80534.70543718338
33, 0, 0.4995, 0, 82828.10555815697
34, 0, 0.5006, 0, 85122.30624079704
35, 0, 0.5045, 0, 87427.27448511124
36, 0, 0.507, 0, 89720.70297932625
37, 0, 0.5119, 0, 92030.56202459335
38, 0, 0.5138, 0, 94320.40990018845
39, 0, 0.5228, 0, 96598.89811229706
40, 0, 0.5215, 0, 98845.89561414719
41, 0, 0.5268, 0, 101112.61171531677
42, 0, 0.5292, 0, 103380.95014691353
43, 0, 0.5338, 0, 105504.76718187332
44, 0, 0.5352, 0, 107615.02422595024
45, 0, 0.5381, 0, 109742.08289957047
46, 0, 0.5423, 0, 111880.14710783958
47, 0, 0.5416, 0, 114115.20879626274
48, 0, 0.5447, 0, 116566.44698524475
49, 0, 0.5406, 0, 119058.55637645721
