,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,10,0,0.1,0,0
1,1,10,0,0.1,0,0
2,2,10,0,0.1,0,0
3,3,10,0,0.1302,0,0
4,4,10,0,0.1598,0,0
5,5,10,0,0.1268,0,0
6,6,10,0,0.1192,0,0
7,7,10,0,0.1495,0,0
8,8,10,0,0.1583,0,0
9,9,10,0,0.2199,0,0
10,10,10,0,0.2524,0,0
11,11,10,0,0.2984,0,0
12,12,10,0,0.3471,0,0
13,13,10,0,0.3631,0,0
14,14,10,0,0.3836,0,0
15,15,10,0,0.389,0,0
16,16,10,0,0.4013,0,0
17,17,10,0,0.4121,0,0
18,18,10,0,0.4132,0,0
19,19,10,0,0.422,0,0
20,20,10,0,0.4267,0,0
21,21,10,0,0.4311,0,0
22,22,10,0,0.4416,0,0
23,23,10,0,0.448,0,0
24,24,10,0,0.4544,0,0
25,25,10,0,0.4604,0,0
26,26,10,0,0.474,0,0
27,27,10,0,0.4787,0,0
28,28,10,0,0.4799,0,0
29,29,10,0,0.4708,0,0
30,30,10,0,0.4866,0,0
31,31,10,0,0.4837,0,0
32,32,10,0,0.4852,0,0
33,33,10,0,0.4995,0,0
34,34,10,0,0.5006,0,0
35,35,10,0,0.5045,0,0
36,36,10,0,0.507,0,0
37,37,10,0,0.5119,0,0
38,38,10,0,0.5138,0,0
39,39,10,0,0.5228,0,0
40,40,10,0,0.5215,0,0
41,41,10,0,0.5268,0,0
42,42,10,0,0.5292,0,0
43,43,10,0,0.5338,0,0
44,44,10,0,0.5352,0,0
45,45,10,0,0.5381,0,0
46,46,10,0,0.5423,0,0
47,47,10,0,0.5416,0,0
48,48,10,0,0.5447,0,0
49,49,10,0,0.5406,0,0
