round, train_acc, test_acc, f1, time_stamp
0, 0, 0.1, 0, 2480.2437613010406
1, 0, 0.1, 0, 4911.316822052002
2, 0, 0.1, 0, 7343.970113515854
3, 0, 0.0996, 0, 9779.78138422966
4, 0, 0.1, 0, 12203.305619239807
5, 0, 0.1, 0, 14637.149811029434
6, 0, 0.1, 0, 17104.655075073242
7, 0, 0.1, 0, 19551.43498659134
8, 0, 0.1, 0, 21996.035603761673
9, 0, 0.1, 0, 24424.648178339005
10, 0, 0.1, 0, 26860.48549079895
11, 0, 0.1, 0, 29304.096427440643
12, 0, 0.1, 0, 31742.94576382637
13, 0, 0.1, 0, 34181.408405303955
14, 0, 0.1, 0, 36625.72503376007
15, 0, 0.1, 0, 39079.951166152954
16, 0, 0.1, 0, 41519.28229308128
17, 0, 0.1002, 0, 43957.98724150658
18, 0, 0.1, 0, 46393.79531812668
19, 0, 0.1055, 0, 48834.28303217888
20, 0, 0.1247, 0, 51270.402826309204
21, 0, 0.1914, 0, 53708.65817642212
22, 0, 0.1297, 0, 56146.46886754036
23, 0, 0.1532, 0, 58593.61753606796
24, 0, 0.1668, 0, 61069.05861401558
25, 0, 0.1927, 0, 63588.37183046341
26, 0, 0.2183, 0, 66091.78042244911
27, 0, 0.2459, 0, 68589.02750658989
28, 0, 0.268, 0, 71090.79973888397
29, 0, 0.3009, 0, 73594.64616179466
30, 0, 0.3338, 0, 76101.81950163841
31, 0, 0.3343, 0, 78607.04692149162
32, 0, 0.3592, 0, 81118.34066462517
33, 0, 0.3887, 0, 83609.49913048744
34, 0, 0.3975, 0, 86124.51255440712
35, 0, 0.413, 0, 88641.3984735012
36, 0, 0.4154, 0, 91157.77445316315
37, 0, 0.4269, 0, 93665.05033421516
38, 0, 0.4368, 0, 96168.30091023445
39, 0, 0.4443, 0, 98672.72477722168
40, 0, 0.4454, 0, 101175.68160104752
41, 0, 0.4578, 0, 103673.59650921822
42, 0, 0.4601, 0, 106172.19798898697
43, 0, 0.471, 0, 108681.98663711548
44, 0, 0.4753, 0, 111190.40334391594
45, 0, 0.478, 0, 113699.2514591217
46, 0, 0.4827, 0, 116203.30684232712
47, 0, 0.4825, 0, 118699.86594367027
48, 0, 0.4914, 0, 121188.02000117302
49, 0, 0.4916, 0, 123676.31563282013
