round, train_acc, test_acc, f1, time_stamp
0, 0.1, 0.1, 0.1, 30.11694025993347
1, 0.1, 0.1, 0.1, 59.7959189414978
2, 0.12365, 0.1249, 0.1249, 89.59319996833801
3, 0.5428, 0.5381, 0.5381, 118.61315131187439
4, 0.5908, 0.5843, 0.5843, 145.19395995140076
5, 0.6181166666666666, 0.6152, 0.6152, 175.05265736579895
6, 0.61645, 0.6153, 0.6153, 204.9001066684723
7, 0.6723833333333333, 0.6648, 0.6648, 234.76260590553284
8, 0.67615, 0.6692, 0.6692, 262.5783157348633
9, 0.6907833333333333, 0.6835, 0.6835, 292.43595695495605
10, 0.6994166666666667, 0.6943, 0.6943, 320.8139090538025
11, 0.7257333333333333, 0.7211, 0.7211, 350.0184609889984
12, 0.7253333333333334, 0.7199, 0.7199, 379.83798718452454
13, 0.7206, 0.716, 0.716, 409.8030869960785
14, 0.7400666666666667, 0.7337, 0.7337, 439.70345664024353
15, 0.73765, 0.731, 0.731, 469.6754982471466
16, 0.7347, 0.7284, 0.7284, 499.62757182121277
17, 0.7137166666666667, 0.7083, 0.7083, 527.6766035556793
18, 0.7545166666666666, 0.7439, 0.7439, 556.3941750526428
19, 0.7021833333333334, 0.699, 0.699, 583.3476402759552
20, 0.7583166666666666, 0.7479, 0.7479, 613.2698125839233
21, 0.6589666666666667, 0.6543, 0.6543, 642.1085958480835
22, 0.7646666666666667, 0.7522, 0.7522, 671.0812833309174
23, 0.7801333333333333, 0.7713, 0.7713, 700.9919295310974
24, 0.77405, 0.7618, 0.7618, 730.8278217315674
25, 0.7569166666666667, 0.7471, 0.7471, 760.6340401172638
26, 0.7889333333333334, 0.7795, 0.7795, 787.9498589038849
27, 0.7959333333333334, 0.7851, 0.7851, 817.7078671455383
28, 0.8002, 0.7908, 0.7908, 844.6785614490509
29, 0.77445, 0.7594, 0.7594, 874.216685295105
30, 0.79995, 0.791, 0.791, 901.4822022914886
31, 0.8077166666666666, 0.7976, 0.7976, 931.1974053382874
32, 0.8099833333333334, 0.8009, 0.8009, 960.9600837230682
33, 0.794, 0.7843, 0.7843, 990.7169609069824
34, 0.8142833333333334, 0.802, 0.802, 1019.5690035820007
35, 0.8107, 0.797, 0.797, 1047.7434639930725
36, 0.8127166666666666, 0.8015, 0.8015, 1077.2804474830627
37, 0.8163666666666667, 0.8051, 0.8051, 1106.769558429718
38, 0.7998666666666666, 0.7897, 0.7897, 1136.366084575653
39, 0.8010833333333334, 0.79, 0.79, 1165.9796710014343
40, 0.8171, 0.8052, 0.8052, 1195.6088707447052
41, 0.82595, 0.8155, 0.8155, 1225.2590713500977
42, 0.7894333333333333, 0.7823, 0.7823, 1254.8841526508331
43, 0.8089, 0.7972, 0.7972, 1284.390343427658
44, 0.8211666666666667, 0.8067, 0.8067, 1313.8953607082367
45, 0.8296, 0.8187, 0.8187, 1343.526171207428
46, 0.8278833333333333, 0.8187, 0.8187, 1373.2098181247711
47, 0.8009666666666667, 0.7918, 0.7918, 1402.7764818668365
48, 0.7928333333333333, 0.7831, 0.7831, 1432.3634014129639
49, 0.8305, 0.8196, 0.8196, 1461.9226670265198
