round, train_acc, test_acc, f1, time_stamp
0, 0.7788666666666667, 0.7696, 0.7696, 182.46186542510986
1, 0.84235, 0.8352, 0.8352, 365.5716485977173
2, 0.86815, 0.8577, 0.8577, 549.7746481895447
3, 0.87785, 0.8638, 0.8638, 731.611739397049
4, 0.8868333333333334, 0.8739, 0.8739, 910.0624952316284
5, 0.8932166666666667, 0.8789, 0.8789, 1094.6682059764862
6, 0.898, 0.88, 0.88, 1281.7181951999664
7, 0.9020666666666667, 0.8822, 0.8822, 1468.6067206859589
8, 0.90435, 0.885, 0.885, 1649.5314865112305
9, 0.9078, 0.8876, 0.8876, 1833.8232264518738
10, 0.9104333333333333, 0.8886, 0.8886, 2017.090826034546
11, 0.9115, 0.8876, 0.8876, 2200.028188943863
12, 0.9145833333333333, 0.8918, 0.8918, 2382.747542619705
13, 0.9160333333333334, 0.8902, 0.8902, 2563.6287050247192
14, 0.9184333333333333, 0.8897, 0.8897, 2744.414619207382
15, 0.9185833333333333, 0.8897, 0.8897, 2925.864155769348
16, 0.9208666666666666, 0.8909, 0.8909, 3108.186649084091
17, 0.9210666666666667, 0.8905, 0.8905, 3290.1562077999115
18, 0.9231, 0.8913, 0.8913, 3472.832368373871
19, 0.9233, 0.8893, 0.8893, 3657.9176416397095
20, 0.9246166666666666, 0.8919, 0.8919, 3842.490879058838
21, 0.9247666666666666, 0.8928, 0.8928, 4028.62136054039
22, 0.9257166666666666, 0.8916, 0.8916, 4213.683060646057
23, 0.9272833333333333, 0.8928, 0.8928, 4399.261008501053
24, 0.9273666666666667, 0.8929, 0.8929, 4584.950632810593
25, 0.9290666666666667, 0.8937, 0.8937, 4769.8207924366
26, 0.9292333333333334, 0.8947, 0.8947, 4958.079879522324
27, 0.9289, 0.8944, 0.8944, 5143.712817668915
28, 0.93075, 0.8959, 0.8959, 5329.544346809387
29, 0.93155, 0.8939, 0.8939, 5515.567879199982
30, 0.93115, 0.8934, 0.8934, 5702.757546424866
31, 0.9329666666666667, 0.8948, 0.8948, 5888.973480463028
32, 0.93385, 0.8949, 0.8949, 6073.032646894455
33, 0.9344, 0.8933, 0.8933, 6255.492666959763
34, 0.9353666666666667, 0.8938, 0.8938, 6438.285517215729
35, 0.9342, 0.8936, 0.8936, 6621.700621843338
36, 0.9370666666666667, 0.8936, 0.8936, 6803.311918497086
37, 0.9374166666666667, 0.8944, 0.8944, 6986.217578887939
38, 0.93825, 0.8956, 0.8956, 7168.653969526291
39, 0.9386666666666666, 0.894, 0.894, 7350.75416135788
40, 0.9382, 0.8931, 0.8931, 7532.460919141769
41, 0.9398, 0.8938, 0.8938, 7716.560401678085
42, 0.9402666666666667, 0.8954, 0.8954, 7899.091338396072
43, 0.9401666666666667, 0.8929, 0.8929, 8081.698191642761
44, 0.9415, 0.894, 0.894, 8264.151410341263
45, 0.9420833333333334, 0.8944, 0.8944, 8446.643949508667
46, 0.9426333333333333, 0.8944, 0.8944, 8630.75593495369
47, 0.94355, 0.8939, 0.8939, 8817.916327476501
48, 0.9425166666666667, 0.8937, 0.8937, 9004.779352426529
49, 0.9438666666666666, 0.894, 0.894, 9192.876064538956
