round, train_acc, test_acc, f1, time_stamp
0, 0.9518333333333333, 0.9566, 0.9566, 183.53649163246155
1, 0.9754333333333334, 0.9772, 0.9772, 367.18333554267883
2, 0.9813333333333333, 0.9818, 0.9818, 552.0306396484375
3, 0.9845166666666667, 0.9838, 0.9838, 734.9361507892609
4, 0.9865166666666667, 0.9852, 0.9852, 914.4256165027618
5, 0.9877, 0.9859, 0.9859, 1100.0578429698944
6, 0.9886333333333334, 0.9872, 0.9872, 1288.1845662593842
7, 0.9895, 0.9879, 0.9879, 1474.7719395160675
8, 0.99005, 0.9879, 0.9879, 1654.8403713703156
9, 0.9905, 0.9884, 0.9884, 1838.6478297710419
10, 0.9908666666666667, 0.9885, 0.9885, 2022.0432906150818
11, 0.99155, 0.989, 0.989, 2204.6891610622406
12, 0.9919166666666667, 0.9896, 0.9896, 2386.9210505485535
13, 0.9922166666666666, 0.9892, 0.9892, 2567.1368148326874
14, 0.9925333333333334, 0.9896, 0.9896, 2747.744017601013
15, 0.9927833333333334, 0.9902, 0.9902, 2929.215841770172
16, 0.99305, 0.9902, 0.9902, 3111.3670723438263
17, 0.9932166666666666, 0.9905, 0.9905, 3293.3550968170166
18, 0.9935166666666667, 0.9901, 0.9901, 3475.913420200348
19, 0.9936166666666667, 0.9905, 0.9905, 3660.8085837364197
20, 0.9939333333333333, 0.9904, 0.9904, 3845.4416539669037
21, 0.9939833333333333, 0.9901, 0.9901, 4031.51514005661
22, 0.99415, 0.9902, 0.9902, 4216.518422603607
23, 0.9941833333333333, 0.9905, 0.9905, 4401.8248546123505
24, 0.99455, 0.9905, 0.9905, 4587.593441724777
25, 0.9946333333333334, 0.9906, 0.9906, 4772.790674448013
26, 0.9948333333333333, 0.9901, 0.9901, 4961.708923101425
27, 0.9949166666666667, 0.9902, 0.9902, 5147.264295101166
28, 0.9950166666666667, 0.9902, 0.9902, 5333.313789129257
29, 0.9952666666666666, 0.9901, 0.9901, 5519.353399038315
30, 0.9952666666666666, 0.9904, 0.9904, 5706.668734550476
31, 0.9954166666666666, 0.9908, 0.9908, 5892.973104000092
32, 0.99555, 0.9904, 0.9904, 6077.127220392227
33, 0.99565, 0.9905, 0.9905, 6259.584918022156
34, 0.9956833333333334, 0.991, 0.991, 6442.832917690277
35, 0.9959166666666667, 0.9903, 0.9903, 6626.053300380707
36, 0.9958333333333333, 0.9905, 0.9905, 6807.826316356659
37, 0.9960833333333333, 0.9904, 0.9904, 6990.279446363449
38, 0.9961833333333333, 0.99, 0.99, 7171.981635093689
39, 0.9963333333333333, 0.9904, 0.9904, 7353.960345745087
40, 0.9964166666666666, 0.9902, 0.9902, 7535.474656581879
41, 0.9964833333333334, 0.99, 0.99, 7718.425907611847
42, 0.99655, 0.9898, 0.9898, 7901.147649526596
43, 0.9966, 0.9901, 0.9901, 8084.103076934814
44, 0.9966333333333334, 0.9905, 0.9905, 8266.593077421188
45, 0.99685, 0.9904, 0.9904, 8449.143247365952
46, 0.9968666666666667, 0.9903, 0.9903, 8633.374233722687
47, 0.9968166666666667, 0.99, 0.99, 8821.070453166962
48, 0.9969833333333333, 0.9905, 0.9905, 9008.64767742157
49, 0.99695, 0.9905, 0.9905, 9197.052651166916
