round, train_acc, test_acc, f1, time_stamp
0, 0.17726, 0.1802, 0.1802, 846.6478004455566
1, 0.2507, 0.2628, 0.2628, 1704.3640112876892
2, 0.35044, 0.3742, 0.3742, 2555.9304809570312
3, 0.38652, 0.4145, 0.4145, 3406.6745421886444
4, 0.40976, 0.4391, 0.4391, 4251.443714618683
5, 0.42742, 0.4571, 0.4571, 5084.661720991135
6, 0.44784, 0.475, 0.475, 5852.764275074005
7, 0.46786, 0.4942, 0.4942, 6541.900635480881
8, 0.47852, 0.5066, 0.5066, 7324.658279418945
9, 0.4906, 0.5191, 0.5191, 8113.0985362529755
10, 0.50082, 0.524, 0.524, 8906.155986309052
11, 0.51108, 0.5379, 0.5379, 9693.442619562149
12, 0.52312, 0.5436, 0.5436, 10487.36057806015
13, 0.52848, 0.5544, 0.5544, 11253.129271745682
14, 0.53306, 0.5567, 0.5567, 12049.09620809555
15, 0.54014, 0.5608, 0.5608, 12828.86911034584
16, 0.54788, 0.5681, 0.5681, 13621.080884218216
17, 0.55102, 0.5726, 0.5726, 14413.113450050354
18, 0.55436, 0.573, 0.573, 15171.174712896347
19, 0.55842, 0.5787, 0.5787, 15948.140810728073
20, 0.56226, 0.5814, 0.5814, 16681.472701072693
21, 0.56524, 0.5834, 0.5834, 17385.255239486694
22, 0.57238, 0.5875, 0.5875, 17898.042240142822
23, 0.57364, 0.5914, 0.5914, 18411.108612775803
24, 0.57132, 0.5911, 0.5911, 18923.445595026016
25, 0.57732, 0.5938, 0.5938, 19436.15371775627
26, 0.58162, 0.5988, 0.5988, 19936.62073278427
27, 0.57716, 0.5969, 0.5969, 20433.328243017197
28, 0.57538, 0.5954, 0.5954, 20929.318145513535
29, 0.57898, 0.5974, 0.5974, 21430.97824025154
30, 0.58822, 0.6022, 0.6022, 21957.588443040848
31, 0.59084, 0.6072, 0.6072, 22553.775892734528
32, 0.58822, 0.6028, 0.6028, 23149.72282767296
33, 0.59098, 0.6067, 0.6067, 23745.00772666931
34, 0.59344, 0.6105, 0.6105, 24341.258097410202
35, 0.59412, 0.609, 0.609, 24936.8672208786
36, 0.5946, 0.6098, 0.6098, 25532.483877182007
37, 0.59516, 0.6145, 0.6145, 26127.250241279602
38, 0.59432, 0.6068, 0.6068, 26722.223172187805
39, 0.59876, 0.6102, 0.6102, 27318.693344831467
40, 0.6003, 0.6142, 0.6142, 27917.068859815598
41, 0.59986, 0.6118, 0.6118, 28518.234176635742
42, 0.59828, 0.6127, 0.6127, 29118.02236509323
43, 0.5985, 0.6097, 0.6097, 29719.110753774643
44, 0.6042, 0.6171, 0.6171, 30318.27722144127
45, 0.60548, 0.6156, 0.6156, 30918.617696762085
46, 0.60522, 0.6165, 0.6165, 31519.1853621006
47, 0.6084, 0.621, 0.621, 32119.47491455078
48, 0.60804, 0.6203, 0.6203, 32720.19901227951
49, 0.6063, 0.6193, 0.6193, 33320.04130983353
