,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,20,0.16554,0.1726,0.1726,"[[0, 945, 0, 0, 0, 14, 26, 15, 0, 0], [0, 874, 0, 0, 3, 12, 89, 22, 0, 0], [0, 583, 0, 0, 10, 63, 309, 35, 0, 0], [0, 587, 0, 0, 16, 82, 272, 43, 0, 0], [0, 392, 0, 0, 15, 82, 465, 46, 0, 0], [0, 614, 0, 0, 8, 129, 212, 37, 0, 0], [0, 309, 0, 0, 6, 83, 559, 43, 0, 0], [0, 620, 0, 0, 5, 55, 171, 149, 0, 0], [0, 974, 0, 0, 1, 6, 12, 7, 0, 0], [0, 890, 0, 0, 5, 18, 56, 31, 0, 0]]"
1,1,20,0.2218,0.234,0.234,"[[14, 789, 12, 0, 19, 0, 58, 33, 4, 71], [0, 773, 1, 1, 5, 0, 116, 30, 0, 74], [9, 233, 32, 2, 90, 3, 512, 74, 8, 37], [2, 187, 25, 8, 40, 12, 546, 110, 5, 65], [1, 121, 13, 2, 90, 0, 671, 72, 0, 30], [1, 209, 20, 12, 31, 28, 560, 101, 5, 33], [0, 67, 6, 2, 45, 1, 787, 60, 3, 29], [1, 180, 8, 1, 40, 7, 304, 329, 1, 129], [3, 831, 2, 3, 7, 0, 42, 19, 27, 66], [0, 561, 3, 0, 8, 4, 109, 60, 3, 252]]"
2,2,20,0.3826,0.4193,0.4193,"[[447, 257, 67, 3, 24, 3, 21, 30, 80, 68], [8, 825, 6, 1, 3, 8, 23, 16, 11, 99], [49, 78, 246, 20, 131, 51, 259, 121, 18, 27], [16, 91, 115, 89, 18, 192, 269, 139, 16, 55], [41, 50, 86, 13, 254, 23, 361, 142, 18, 12], [14, 66, 96, 53, 25, 333, 194, 175, 19, 25], [2, 57, 52, 27, 71, 26, 643, 81, 14, 27], [17, 78, 47, 11, 43, 62, 86, 581, 6, 69], [140, 340, 16, 10, 4, 8, 14, 10, 391, 67], [12, 465, 7, 4, 4, 8, 30, 53, 33, 384]]"
3,3,20,0.44572,0.4774,0.4774,"[[481, 154, 107, 3, 32, 9, 21, 30, 101, 62], [9, 834, 8, 3, 3, 10, 14, 14, 18, 87], [33, 49, 396, 20, 106, 83, 179, 91, 21, 22], [8, 54, 126, 101, 23, 300, 242, 98, 15, 33], [26, 33, 134, 21, 308, 41, 266, 146, 16, 9], [4, 32, 112, 48, 29, 464, 138, 144, 14, 15], [1, 45, 71, 41, 86, 53, 623, 51, 13, 16], [12, 50, 45, 8, 47, 106, 62, 611, 8, 51], [119, 186, 23, 9, 8, 13, 15, 7, 545, 75], [16, 400, 12, 7, 5, 16, 24, 65, 44, 411]]"
4,4,20,0.47996,0.5123,0.5123,"[[472, 102, 131, 2, 28, 12, 22, 42, 121, 68], [9, 812, 14, 3, 5, 11, 20, 19, 18, 89], [28, 28, 479, 20, 85, 86, 160, 73, 17, 24], [7, 32, 125, 127, 38, 282, 267, 81, 14, 27], [25, 21, 152, 18, 329, 36, 253, 144, 15, 7], [4, 21, 136, 53, 22, 478, 143, 119, 14, 10], [2, 20, 81, 29, 64, 40, 699, 39, 8, 18], [7, 23, 48, 14, 53, 102, 62, 643, 6, 42], [78, 133, 32, 13, 7, 13, 16, 9, 628, 71], [19, 335, 17, 12, 5, 15, 31, 60, 50, 456]]"
5,5,20,0.5053,0.5429,0.5429,"[[506, 106, 99, 6, 26, 8, 25, 36, 117, 71], [10, 827, 7, 4, 5, 7, 13, 11, 20, 96], [34, 32, 463, 27, 102, 75, 157, 66, 18, 26], [6, 35, 96, 186, 42, 245, 268, 74, 13, 35], [17, 22, 105, 25, 388, 32, 232, 155, 17, 7], [5, 21, 95, 82, 42, 477, 139, 109, 11, 19], [1, 23, 65, 38, 52, 41, 720, 31, 7, 22], [6, 21, 33, 16, 60, 100, 60, 647, 6, 51], [70, 118, 26, 15, 6, 11, 12, 6, 653, 83], [17, 287, 10, 10, 3, 12, 27, 34, 38, 562]]"
6,6,20,0.52608,0.5593,0.5593,"[[541, 114, 69, 8, 24, 8, 25, 29, 110, 72], [10, 833, 6, 5, 5, 4, 16, 10, 19, 92], [44, 28, 477, 33, 119, 60, 139, 56, 17, 27], [9, 38, 86, 226, 53, 220, 252, 67, 14, 35], [22, 23, 99, 27, 440, 26, 205, 132, 15, 11], [5, 20, 91, 101, 46, 472, 134, 99, 13, 19], [3, 30, 59, 37, 51, 38, 734, 22, 8, 18], [8, 24, 33, 24, 63, 90, 51, 646, 5, 56], [73, 132, 21, 14, 8, 7, 9, 5, 652, 79], [15, 291, 8, 14, 6, 10, 25, 20, 39, 572]]"
7,7,20,0.5405,0.572,0.572,"[[567, 104, 64, 5, 22, 10, 30, 30, 103, 65], [9, 833, 5, 5, 4, 5, 17, 12, 20, 90], [42, 28, 496, 35, 100, 67, 140, 55, 17, 20], [9, 36, 77, 219, 55, 230, 270, 62, 13, 29], [16, 21, 110, 29, 428, 35, 195, 135, 20, 11], [4, 19, 83, 96, 49, 482, 133, 104, 14, 16], [3, 28, 61, 29, 41, 37, 760, 22, 7, 12], [11, 21, 34, 22, 68, 86, 50, 653, 3, 52], [62, 121, 18, 13, 9, 8, 14, 7, 681, 67], [18, 256, 9, 12, 7, 13, 25, 21, 38, 601]]"
8,8,20,0.55042,0.5776,0.5776,"[[597, 106, 58, 4, 19, 12, 25, 24, 90, 65], [11, 839, 4, 6, 5, 6, 11, 8, 22, 88], [51, 27, 453, 49, 121, 79, 119, 57, 21, 23], [12, 37, 65, 267, 62, 248, 192, 66, 16, 35], [22, 22, 75, 28, 472, 39, 163, 148, 16, 15], [6, 22, 68, 113, 48, 518, 89, 96, 11, 29], [6, 36, 54, 45, 59, 50, 702, 21, 9, 18], [12, 24, 27, 22, 66, 88, 39, 659, 5, 58], [77, 113, 17, 15, 9, 9, 8, 8, 677, 67], [21, 279, 7, 10, 8, 14, 19, 16, 34, 592]]"
9,9,20,0.55814,0.5853,0.5853,"[[620, 91, 62, 7, 19, 9, 28, 25, 84, 55], [15, 823, 4, 6, 7, 6, 17, 8, 23, 91], [52, 24, 492, 51, 92, 67, 130, 52, 19, 21], [15, 33, 72, 288, 54, 227, 215, 55, 15, 26], [23, 19, 99, 35, 457, 29, 184, 127, 13, 14], [7, 20, 76, 135, 48, 495, 104, 81, 11, 23], [7, 29, 59, 45, 37, 33, 750, 17, 8, 15], [13, 19, 38, 25, 67, 87, 47, 648, 7, 49], [78, 106, 20, 15, 8, 8, 8, 7, 692, 58], [23, 270, 8, 8, 10, 12, 24, 21, 36, 588]]"
10,10,20,0.56382,0.5931,0.5931,"[[613, 83, 62, 9, 21, 10, 30, 27, 85, 60], [11, 823, 5, 4, 7, 7, 18, 6, 22, 97], [50, 22, 500, 58, 80, 80, 119, 53, 18, 20], [14, 30, 60, 301, 47, 239, 210, 51, 17, 31], [26, 21, 95, 37, 462, 37, 163, 131, 13, 15], [9, 22, 62, 137, 44, 510, 107, 78, 10, 21], [8, 26, 54, 45, 33, 42, 749, 18, 7, 18], [13, 23, 36, 34, 59, 90, 34, 652, 5, 54], [62, 105, 21, 15, 8, 11, 7, 7, 705, 59], [23, 249, 6, 10, 9, 12, 23, 20, 32, 616]]"
11,11,20,0.56968,0.5962,0.5962,"[[595, 90, 72, 9, 25, 9, 32, 28, 69, 71], [11, 816, 7, 4, 9, 4, 19, 5, 16, 109], [43, 17, 518, 50, 84, 82, 108, 63, 15, 20], [11, 27, 76, 282, 54, 253, 191, 61, 16, 29], [20, 15, 96, 30, 485, 41, 147, 143, 10, 13], [4, 20, 69, 99, 51, 545, 91, 89, 8, 24], [7, 17, 57, 45, 36, 45, 742, 26, 5, 20], [9, 17, 40, 28, 63, 93, 32, 665, 4, 49], [74, 107, 22, 17, 11, 9, 8, 8, 664, 80], [20, 222, 6, 9, 10, 11, 24, 20, 28, 650]]"
12,12,20,0.57312,0.597,0.597,"[[612, 90, 63, 9, 26, 8, 35, 28, 69, 60], [8, 840, 10, 5, 9, 4, 19, 5, 17, 83], [54, 18, 502, 53, 97, 73, 115, 57, 13, 18], [10, 26, 76, 297, 59, 241, 185, 63, 16, 27], [23, 16, 79, 35, 502, 32, 148, 143, 11, 11], [6, 22, 64, 119, 54, 526, 95, 84, 8, 22], [7, 19, 53, 49, 36, 40, 752, 24, 7, 13], [10, 19, 35, 29, 65, 95, 35, 670, 6, 36], [78, 111, 19, 17, 10, 9, 8, 6, 676, 66], [22, 271, 9, 10, 9, 12, 24, 24, 26, 593]]"
13,13,20,0.5794,0.6036,0.6036,"[[594, 85, 77, 9, 29, 11, 33, 29, 73, 60], [8, 836, 10, 7, 11, 5, 19, 6, 17, 81], [45, 13, 523, 56, 89, 79, 111, 54, 14, 16], [7, 28, 75, 295, 57, 273, 171, 59, 15, 20], [18, 16, 91, 36, 508, 38, 137, 135, 12, 9], [4, 16, 67, 112, 53, 567, 84, 70, 8, 19], [5, 14, 56, 52, 38, 50, 743, 23, 8, 11], [9, 16, 38, 32, 68, 98, 37, 668, 5, 29], [62, 93, 19, 19, 10, 12, 8, 8, 711, 58], [17, 257, 12, 10, 10, 11, 26, 35, 31, 591]]"
14,14,20,0.58256,0.609,0.609,"[[623, 69, 62, 9, 24, 8, 33, 31, 82, 59], [14, 816, 6, 4, 10, 3, 23, 8, 21, 95], [54, 14, 501, 54, 106, 65, 120, 55, 14, 17], [11, 20, 70, 287, 67, 239, 206, 58, 16, 26], [16, 12, 91, 34, 531, 27, 145, 121, 14, 9], [7, 16, 61, 115, 62, 525, 113, 72, 7, 22], [5, 12, 46, 41, 44, 34, 779, 17, 8, 14], [9, 11, 33, 32, 72, 89, 43, 669, 7, 35], [64, 90, 12, 16, 9, 10, 10, 8, 726, 55], [18, 226, 9, 12, 7, 9, 26, 26, 34, 633]]"
15,15,20,0.58856,0.6065,0.6065,"[[626, 72, 71, 13, 25, 8, 31, 24, 77, 53], [15, 838, 8, 8, 10, 3, 19, 6, 20, 73], [50, 14, 520, 70, 97, 62, 112, 48, 13, 14], [12, 24, 70, 337, 61, 215, 188, 59, 17, 17], [13, 15, 95, 45, 514, 33, 132, 127, 16, 10], [7, 19, 64, 150, 56, 497, 105, 73, 8, 21], [5, 13, 47, 62, 36, 35, 761, 20, 9, 12], [12, 16, 37, 44, 67, 76, 43, 668, 6, 31], [63, 95, 18, 17, 7, 6, 8, 7, 725, 54], [21, 267, 10, 15, 8, 10, 28, 29, 33, 579]]"
16,16,20,0.5907,0.615,0.615,"[[636, 64, 67, 7, 21, 6, 29, 33, 71, 66], [14, 825, 8, 4, 8, 3, 16, 7, 16, 99], [58, 16, 549, 51, 79, 62, 103, 53, 10, 19], [12, 21, 86, 298, 55, 234, 176, 69, 20, 29], [19, 11, 97, 32, 494, 46, 140, 135, 15, 11], [7, 14, 74, 113, 48, 527, 103, 83, 8, 23], [7, 11, 52, 42, 35, 45, 761, 20, 9, 18], [13, 11, 33, 30, 62, 78, 36, 696, 5, 36], [69, 89, 17, 16, 8, 10, 6, 10, 699, 76], [17, 194, 10, 13, 7, 8, 26, 30, 30, 665]]"
17,17,20,0.5936,0.6108,0.6108,"[[634, 71, 63, 10, 18, 9, 27, 24, 84, 60], [13, 838, 7, 6, 9, 5, 16, 3, 18, 85], [59, 15, 514, 63, 95, 72, 103, 47, 14, 18], [14, 24, 69, 297, 56, 259, 172, 60, 19, 30], [22, 14, 85, 45, 502, 48, 123, 129, 20, 12], [10, 20, 60, 119, 51, 540, 94, 77, 8, 21], [7, 13, 42, 45, 44, 47, 756, 21, 8, 17], [14, 15, 35, 35, 60, 90, 38, 666, 8, 39], [63, 97, 16, 14, 7, 8, 7, 7, 723, 58], [16, 225, 10, 12, 8, 7, 26, 24, 34, 638]]"
