round, train_acc, test_acc, f1, time_stamp
0, 0.12994, 0.1342, 0.1342, 1243.3803148269653
1, 0.23256, 0.2394, 0.2394, 2466.641214132309
2, 0.31452, 0.3349, 0.3349, 3885.236452102661
3, 0.38592, 0.4139, 0.4139, 5544.423435211182
4, 0.42408, 0.447, 0.447, 7191.166535139084
5, 0.45084, 0.4835, 0.4835, 8858.927854537964
6, 0.47122, 0.5014, 0.5014, 10922.786894083023
7, 0.4898, 0.5178, 0.5178, 12782.977020025253
8, 0.50178, 0.5292, 0.5292, 15774.29450392723
9, 0.5145, 0.5385, 0.5385, 18813.11013817787
10, 0.52902, 0.5501, 0.5501, 21844.369035243988
11, 0.53718, 0.5628, 0.5628, 25021.552455186844
12, 0.54458, 0.5663, 0.5663, 28092.060763835907
13, 0.55518, 0.5757, 0.5757, 31210.95565032959
14, 0.55812, 0.5792, 0.5792, 34301.821026563644
15, 0.5657, 0.5856, 0.5856, 37292.86784720421
16, 0.57204, 0.5865, 0.5865, 40122.68040442467
17, 0.5735, 0.5919, 0.5919, 43196.11265516281
18, 0.58258, 0.5969, 0.5969, 46204.83722162247
19, 0.57718, 0.5945, 0.5945, 49296.60198879242
20, 0.59084, 0.6038, 0.6038, 52385.21678996086
21, 0.58848, 0.6031, 0.6031, 55456.29126358032
22, 0.59634, 0.613, 0.613, 58560.87379813194
23, 0.59378, 0.6089, 0.6089, 61617.823214530945
24, 0.5991, 0.6101, 0.6101, 64646.60810494423
25, 0.60466, 0.6166, 0.6166, 67684.78649878502
26, 0.60518, 0.6142, 0.6142, 70704.63287186623
27, 0.60672, 0.6156, 0.6156, 73813.33153152466
28, 0.60918, 0.6194, 0.6194, 76934.51829528809
29, 0.6098, 0.6181, 0.6181, 80018.43533992767
30, 0.6122, 0.6211, 0.6211, 83145.35847187042
31, 0.61718, 0.6236, 0.6236, 86246.32887268066
32, 0.61608, 0.6261, 0.6261, 89252.598893404
33, 0.61508, 0.6245, 0.6245, 92290.98400783539
34, 0.62088, 0.626, 0.626, 95341.79289197922
35, 0.62082, 0.6267, 0.6267, 98433.93008232117
36, 0.62116, 0.6254, 0.6254, 101481.65459489822
37, 0.62542, 0.6277, 0.6277, 104581.73827552795
38, 0.6209, 0.624, 0.624, 107676.38422226906
39, 0.62656, 0.6259, 0.6259, 110724.36769127846
40, 0.62922, 0.6289, 0.6289, 113766.47807979584
41, 0.62978, 0.6277, 0.6277, 116799.32518005371
42, 0.62932, 0.6283, 0.6283, 119812.70204544067
43, 0.63112, 0.6284, 0.6284, 122856.53969311714
44, 0.62966, 0.6301, 0.6301, 125911.90166401863
45, 0.6343, 0.6289, 0.6289, 128918.51028466225
46, 0.6363, 0.6256, 0.6256, 131961.462818861
47, 0.63056, 0.6264, 0.6264, 135086.68598413467
48, 0.63086, 0.6232, 0.6232, 138174.0700700283
49, 0.63728, 0.6256, 0.6256, 141250.72689652443
50, 0.63558, 0.6251, 0.6251, 144319.7018508911
51, 0.63544, 0.6282, 0.6282, 147394.0943517685
52, 0.63388, 0.6243, 0.6243, 150459.96617388725
53, 0.63392, 0.6287, 0.6287, 153524.66402435303
54, 0.6394, 0.632, 0.632, 156513.97043037415
55, 0.63518, 0.6253, 0.6253, 159570.73638606071
56, 0.6339, 0.624, 0.624, 162605.4491083622
57, 0.63792, 0.6258, 0.6258, 165642.10306692123
58, 0.63748, 0.626, 0.626, 168678.78373599052
59, 0.64226, 0.6269, 0.6269, 171746.41002511978
60, 0.63912, 0.6281, 0.6281, 174805.16306185722
61, 0.6446, 0.6324, 0.6324, 177875.87260460854
62, 0.6439, 0.6296, 0.6296, 180937.9004228115
63, 0.64254, 0.6277, 0.6277, 184005.90044474602
64, 0.6414, 0.6298, 0.6298, 187063.9098432064
65, 0.64376, 0.6289, 0.6289, 190078.19533634186
66, 0.6424, 0.6284, 0.6284, 193159.46925354004
67, 0.64412, 0.6293, 0.6293, 196228.2045826912
68, 0.64324, 0.6296, 0.6296, 199345.43457722664
69, 0.64636, 0.6266, 0.6266, 202474.54526734352
70, 0.6444, 0.6294, 0.6294, 205526.99379515648
71, 0.64788, 0.6291, 0.6291, 208600.42402410507
72, 0.64212, 0.6302, 0.6302, 211675.72266173363
73, 0.64456, 0.6288, 0.6288, 214692.02898597717
74, 0.64842, 0.6268, 0.6268, 217795.23622751236
75, 0.64388, 0.6309, 0.6309, 220854.28984069824
76, 0.6462, 0.6309, 0.6309, 223918.1331577301
77, 0.64958, 0.6278, 0.6278, 226860.52201366425
78, 0.64444, 0.6293, 0.6293, 229898.88163805008
79, 0.6463, 0.6293, 0.6293, 232938.69009399414
80, 0.64876, 0.6276, 0.6276, 236022.1320080757
81, 0.65094, 0.6295, 0.6295, 239041.62524580956
82, 0.64672, 0.6286, 0.6286, 242036.84795808792
83, 0.64896, 0.628, 0.628, 245053.84018182755
84, 0.65332, 0.6327, 0.6327, 248001.75988650322
85, 0.64848, 0.6265, 0.6265, 251014.38806819916
86, 0.64884, 0.63, 0.63, 254080.2896244526
87, 0.65246, 0.6298, 0.6298, 257094.7726919651
