,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,25,0.1741,0.177,0.177,"[[0, 0, 36, 378, 0, 0, 182, 0, 404, 0], [0, 0, 20, 136, 0, 0, 305, 0, 539, 0], [0, 0, 23, 203, 0, 0, 646, 0, 128, 0], [0, 0, 6, 278, 0, 0, 570, 0, 146, 0], [0, 0, 5, 120, 0, 0, 765, 0, 110, 0], [0, 0, 6, 329, 0, 0, 522, 0, 143, 0], [0, 0, 5, 91, 0, 0, 823, 0, 81, 0], [0, 0, 7, 190, 0, 0, 451, 0, 352, 0], [0, 0, 16, 225, 0, 0, 113, 0, 646, 0], [0, 0, 6, 69, 0, 0, 212, 0, 713, 0]]"
1,1,25,0.24902,0.2594,0.2594,"[[0, 17, 122, 29, 1, 0, 58, 3, 738, 32], [0, 163, 21, 21, 0, 0, 98, 2, 626, 69], [0, 26, 249, 86, 1, 0, 454, 7, 159, 18], [0, 24, 176, 207, 0, 0, 434, 10, 122, 27], [0, 3, 155, 57, 8, 0, 656, 11, 98, 12], [0, 22, 199, 256, 4, 0, 397, 1, 106, 15], [0, 15, 77, 65, 0, 0, 779, 2, 55, 7], [0, 24, 214, 120, 10, 0, 299, 125, 132, 76], [0, 19, 38, 37, 0, 0, 27, 4, 851, 24], [0, 49, 24, 26, 1, 0, 99, 9, 580, 212]]"
2,2,25,0.34948,0.3732,0.3732,"[[1, 69, 77, 32, 13, 0, 28, 11, 743, 26], [0, 633, 8, 12, 4, 0, 32, 5, 266, 40], [0, 49, 289, 123, 106, 28, 242, 34, 116, 13], [0, 54, 119, 378, 21, 25, 277, 34, 72, 20], [0, 20, 177, 89, 213, 3, 374, 32, 83, 9], [0, 32, 140, 395, 47, 85, 188, 38, 66, 9], [0, 25, 61, 92, 36, 2, 720, 10, 48, 6], [0, 46, 126, 166, 86, 17, 112, 330, 53, 64], [0, 89, 13, 29, 2, 1, 17, 6, 825, 18], [0, 304, 5, 42, 3, 0, 52, 19, 317, 258]]"
3,3,25,0.41224,0.4402,0.4402,"[[16, 66, 122, 49, 27, 6, 28, 16, 637, 33], [0, 749, 7, 27, 7, 2, 29, 6, 112, 61], [4, 34, 349, 147, 119, 59, 174, 36, 64, 14], [0, 33, 85, 485, 32, 74, 211, 35, 29, 16], [3, 18, 160, 124, 276, 16, 286, 62, 52, 3], [0, 21, 111, 410, 50, 205, 137, 38, 24, 4], [0, 15, 53, 108, 46, 6, 732, 15, 21, 4], [0, 24, 66, 171, 89, 66, 69, 456, 20, 39], [0, 102, 21, 44, 9, 3, 18, 5, 767, 31], [0, 305, 10, 71, 5, 4, 49, 30, 159, 367]]"
4,4,25,0.44818,0.4772,0.4772,"[[63, 71, 165, 30, 29, 2, 27, 17, 559, 37], [1, 803, 11, 16, 2, 3, 19, 3, 89, 53], [7, 40, 462, 111, 79, 47, 142, 32, 61, 19], [1, 35, 89, 482, 26, 87, 183, 39, 31, 27], [4, 22, 188, 116, 249, 31, 247, 89, 48, 6], [0, 23, 104, 371, 36, 273, 107, 48, 26, 12], [0, 24, 61, 109, 30, 15, 724, 12, 20, 5], [1, 28, 53, 134, 61, 73, 56, 517, 18, 59], [2, 96, 25, 35, 4, 6, 11, 6, 782, 33], [0, 329, 13, 45, 4, 3, 33, 18, 138, 417]]"
5,5,25,0.48012,0.5043,0.5043,"[[133, 56, 165, 36, 44, 2, 31, 17, 480, 36], [4, 785, 11, 15, 2, 4, 22, 3, 84, 70], [14, 26, 482, 105, 83, 52, 141, 30, 49, 18], [1, 29, 82, 451, 45, 110, 190, 35, 33, 24], [6, 15, 172, 92, 318, 31, 236, 83, 38, 9], [1, 13, 93, 325, 45, 326, 111, 49, 22, 15], [0, 22, 55, 86, 44, 16, 741, 13, 17, 6], [1, 17, 41, 112, 88, 82, 49, 551, 15, 44], [2, 73, 22, 34, 10, 8, 15, 7, 799, 30], [2, 277, 15, 45, 7, 5, 34, 17, 141, 457]]"
6,6,25,0.50278,0.5262,0.5262,"[[198, 67, 140, 33, 43, 2, 39, 16, 401, 61], [0, 800, 8, 11, 4, 3, 24, 4, 63, 83], [21, 25, 496, 101, 74, 44, 150, 25, 44, 20], [2, 31, 75, 459, 50, 93, 208, 34, 24, 24], [9, 15, 156, 93, 322, 25, 241, 92, 37, 10], [2, 18, 79, 336, 39, 313, 128, 50, 17, 18], [0, 22, 56, 67, 31, 9, 785, 8, 13, 9], [2, 17, 33, 110, 89, 71, 51, 564, 14, 49], [10, 81, 15, 32, 8, 6, 13, 9, 780, 46], [6, 241, 14, 43, 11, 4, 38, 15, 83, 545]]"
7,7,25,0.52158,0.5433,0.5433,"[[247, 52, 135, 26, 50, 4, 41, 16, 382, 47], [2, 796, 8, 12, 4, 5, 24, 5, 66, 78], [19, 24, 486, 88, 91, 48, 153, 25, 49, 17], [2, 24, 80, 436, 55, 119, 200, 33, 29, 22], [11, 10, 129, 81, 377, 34, 226, 90, 36, 6], [2, 18, 73, 282, 50, 365, 127, 47, 19, 17], [0, 18, 49, 58, 43, 18, 780, 10, 14, 10], [4, 11, 33, 94, 89, 79, 48, 589, 11, 42], [14, 65, 13, 21, 9, 10, 16, 8, 810, 34], [9, 228, 15, 42, 15, 5, 40, 11, 88, 547]]"
8,8,25,0.5334,0.5493,0.5493,"[[281, 46, 139, 29, 43, 3, 43, 17, 348, 51], [2, 788, 9, 9, 5, 5, 29, 3, 70, 80], [21, 22, 490, 82, 82, 45, 166, 29, 47, 16], [5, 26, 82, 419, 53, 122, 205, 36, 32, 20], [14, 13, 128, 75, 388, 26, 232, 93, 27, 4], [3, 13, 79, 264, 51, 365, 130, 55, 22, 18], [0, 19, 53, 52, 44, 18, 782, 7, 14, 11], [4, 12, 43, 77, 101, 67, 54, 597, 8, 37], [17, 57, 12, 20, 10, 7, 23, 8, 808, 38], [9, 199, 15, 39, 17, 10, 38, 18, 80, 575]]"
9,9,25,0.5418,0.5647,0.5647,"[[332, 52, 113, 34, 46, 7, 48, 14, 303, 51], [2, 803, 10, 10, 5, 5, 29, 2, 61, 73], [23, 20, 485, 95, 89, 53, 154, 24, 42, 15], [6, 22, 70, 447, 54, 129, 197, 28, 27, 20], [10, 14, 112, 83, 408, 35, 216, 91, 24, 7], [3, 14, 55, 272, 57, 394, 128, 45, 16, 16], [0, 16, 52, 50, 40, 26, 793, 6, 11, 6], [4, 13, 36, 96, 106, 67, 50, 591, 8, 29], [17, 62, 15, 27, 11, 4, 21, 8, 799, 36], [10, 191, 15, 43, 16, 11, 36, 16, 67, 595]]"
