,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,10,0,0.1093,0,0
1,1,10,0,0.1321,0,0
2,2,10,0,0.1425,0,0
3,3,10,0,0.2163,0,0
4,4,10,0,0.2446,0,0
5,5,10,0,0.2766,0,0
6,6,10,0,0.3223,0,0
7,7,10,0,0.363,0,0
8,8,10,0,0.3964,0,0
9,9,10,0,0.422,0,0
10,10,10,0,0.4437,0,0
11,11,10,0,0.4623,0,0
12,12,10,0,0.4801,0,0
13,13,10,0,0.4963,0,0
14,14,10,0,0.5093,0,0
15,15,10,0,0.5203,0,0
16,16,10,0,0.5321,0,0
17,17,10,0,0.5413,0,0
18,18,10,0,0.5531,0,0
19,19,10,0,0.5586,0,0
20,20,10,0,0.5673,0,0
21,21,10,0,0.572,0,0
22,22,10,0,0.5754,0,0
23,23,10,0,0.5774,0,0
24,24,10,0,0.5829,0,0
25,25,10,0,0.5875,0,0
26,26,10,0,0.5917,0,0
27,27,10,0,0.5957,0,0
28,28,10,0,0.5995,0,0
29,29,10,0,0.5985,0,0
30,30,10,0,0.6048,0,0
31,31,10,0,0.6057,0,0
32,32,10,0,0.6088,0,0
33,33,10,0,0.6096,0,0
34,34,10,0,0.6156,0,0
35,35,10,0,0.6167,0,0
36,36,10,0,0.6183,0,0
37,37,10,0,0.6222,0,0
38,38,10,0,0.6218,0,0
39,39,10,0,0.623,0,0
40,40,10,0,0.623,0,0
41,41,10,0,0.6271,0,0
42,42,10,0,0.6285,0,0
43,43,10,0,0.6284,0,0
44,44,10,0,0.6266,0,0
45,45,10,0,0.6281,0,0
46,46,10,0,0.6306,0,0
47,47,10,0,0.6312,0,0
48,48,10,0,0.6332,0,0
49,49,10,0,0.6331,0,0
