round, train_acc, test_acc, f1, time_stamp
0, 0, 0.1093, 0, 3472.7483851909637
1, 0, 0.1321, 0, 6862.192983388901
2, 0, 0.1425, 0, 10282.920946359634
3, 0, 0.2163, 0, 13508.41399884224
4, 0, 0.2446, 0, 16965.73539543152
5, 0, 0.2766, 0, 20087.78673028946
6, 0, 0.3223, 0, 23647.858751773834
7, 0, 0.363, 0, 26903.00629425049
8, 0, 0.3964, 0, 30478.668184041977
9, 0, 0.422, 0, 33544.06270122528
10, 0, 0.4437, 0, 36994.08769989014
11, 0, 0.4623, 0, 40032.03390145302
12, 0, 0.4801, 0, 43380.59815502167
13, 0, 0.4963, 0, 46836.55289268494
14, 0, 0.5093, 0, 50192.001162052155
15, 0, 0.5203, 0, 53504.33211636543
16, 0, 0.5321, 0, 56829.89804434776
17, 0, 0.5413, 0, 60107.323459386826
18, 0, 0.5531, 0, 63441.76568651199
19, 0, 0.5586, 0, 66971.91190123558
20, 0, 0.5673, 0, 70039.4339530468
21, 0, 0.572, 0, 73547.52265501022
22, 0, 0.5754, 0, 76751.51657986641
23, 0, 0.5774, 0, 80028.29410815239
24, 0, 0.5829, 0, 83170.05310297012
25, 0, 0.5875, 0, 86629.807046175
26, 0, 0.5917, 0, 90171.58422136307
27, 0, 0.5957, 0, 93576.02960658073
28, 0, 0.5995, 0, 97052.40102672577
29, 0, 0.5985, 0, 100535.80600380898
30, 0, 0.6048, 0, 103847.73077178001
31, 0, 0.6057, 0, 107335.18070316315
32, 0, 0.6088, 0, 110563.23600363731
33, 0, 0.6096, 0, 113780.36213946342
34, 0, 0.6156, 0, 117183.37631893158
35, 0, 0.6167, 0, 120710.54680991173
36, 0, 0.6183, 0, 124255.11437535286
37, 0, 0.6222, 0, 127691.01345396042
38, 0, 0.6218, 0, 131013.81198787689
39, 0, 0.623, 0, 134452.84076213837
40, 0, 0.623, 0, 137571.73543167114
41, 0, 0.6271, 0, 141157.8801665306
42, 0, 0.6285, 0, 144877.71807599068
43, 0, 0.6284, 0, 148221.2138311863
44, 0, 0.6266, 0, 151811.03684091568
45, 0, 0.6281, 0, 154910.10950493813
46, 0, 0.6306, 0, 158387.28309607506
47, 0, 0.6312, 0, 161768.30911779404
48, 0, 0.6332, 0, 165389.0535314083
49, 0, 0.6331, 0, 169043.5597486496
