round, train_acc, test_acc, f1, time_stamp
0, 0, 0.1328, 0, 5437.2439024448395
1, 0, 0.2624, 0, 10618.199766159058
2, 0, 0.2784, 0, 15736.089987516403
3, 0, 0.3378, 0, 21091.287497758865
4, 0, 0.3825, 0, 27290.959074020386
5, 0, 0.4248, 0, 33730.76416516304
6, 0, 0.4507, 0, 39708.488288879395
7, 0, 0.4611, 0, 45772.627405405045
8, 0, 0.4797, 0, 51127.17536139488
9, 0, 0.4794, 0, 56653.15932941437
10, 0, 0.4946, 0, 62850.880623817444
11, 0, 0.508, 0, 68524.90486598015
12, 0, 0.5174, 0, 74666.97068142891
13, 0, 0.5232, 0, 79850.8125026226
14, 0, 0.5322, 0, 85132.90450501442
15, 0, 0.5391, 0, 90722.49036669731
16, 0, 0.5452, 0, 95628.62771844864
17, 0, 0.5442, 0, 100856.74177837372
18, 0, 0.5649, 0, 106184.17742538452
19, 0, 0.5598, 0, 111542.91196656227
20, 0, 0.5644, 0, 115970.07716083527
21, 0, 0.5758, 0, 121167.23324203491
22, 0, 0.5661, 0, 126795.22219276428
23, 0, 0.5763, 0, 132443.83928322792
24, 0, 0.5789, 0, 137518.55786514282
25, 0, 0.5792, 0, 143415.33295226097
26, 0, 0.5878, 0, 147729.5147163868
27, 0, 0.5926, 0, 151311.52621555328
28, 0, 0.5897, 0, 155322.55782079697
29, 0, 0.592, 0, 159551.57187366486
30, 0, 0.6044, 0, 163413.7668015957
31, 0, 0.5999, 0, 167695.84655809402
32, 0, 0.5963, 0, 171744.04486775398
