round, train_acc, test_acc, f1, time_stamp
0, 0, 0.1, 0, 6304.7127912044525
1, 0, 0.1, 0, 12125.290750265121
2, 0, 0.2803, 0, 16897.360926628113
3, 0, 0.3799, 0, 20293.052008390427
4, 0, 0.4341, 0, 24581.712912797928
5, 0, 0.4712, 0, 29215.863709688187
6, 0, 0.5058, 0, 33783.24683856964
7, 0, 0.5212, 0, 38683.15342712402
8, 0, 0.5323, 0, 44123.1223590374
9, 0, 0.5435, 0, 49883.02075958252
10, 0, 0.5582, 0, 53609.60262489319
11, 0, 0.5531, 0, 57663.57248687744
12, 0, 0.5763, 0, 61613.8745765686
13, 0, 0.5746, 0, 65446.12470078468
14, 0, 0.5916, 0, 69168.95763039589
15, 0, 0.5933, 0, 72981.34618473053
16, 0, 0.5989, 0, 76707.85996437073
17, 0, 0.5954, 0, 80417.83717727661
18, 0, 0.5977, 0, 84243.68361377716
19, 0, 0.6081, 0, 88552.39053845406
20, 0, 0.6132, 0, 92965.09877300262
21, 0, 0.6141, 0, 97334.0474653244
22, 0, 0.6018, 0, 101456.89789175987
23, 0, 0.6034, 0, 105452.1668279171
24, 0, 0.6222, 0, 108536.41796469688
25, 0, 0.6258, 0, 111792.94240355492
26, 0, 0.6243, 0, 114733.29271101952
27, 0, 0.6315, 0, 117615.93972969055
28, 0, 0.6351, 0, 120799.11934781075
29, 0, 0.6267, 0, 123667.66551089287
30, 0, 0.638, 0, 126818.54836583138
31, 0, 0.6445, 0, 129936.71601176262
32, 0, 0.6337, 0, 132869.77716898918
33, 0, 0.6326, 0, 135856.20655155182
34, 0, 0.6322, 0, 138813.35064554214
35, 0, 0.6303, 0, 141790.27449512482
36, 0, 0.6477, 0, 144902.5220527649
37, 0, 0.6388, 0, 147877.49507379532
38, 0, 0.6329, 0, 150914.77115345
39, 0, 0.6287, 0, 153943.97336649895
40, 0, 0.6438, 0, 156830.54400086403
41, 0, 0.6424, 0, 159970.42884778976
42, 0, 0.6393, 0, 162916.73433804512
43, 0, 0.635, 0, 166672.68439865112
44, 0, 0.6322, 0, 169872.4091887474
45, 0, 0.6376, 0, 172922.7905652523
46, 0, 0.6287, 0, 175765.15356850624
47, 0, 0.6464, 0, 178810.5298998356
48, 0, 0.6469, 0, 182005.88548731804
49, 0, 0.6336, 0, 185121.10249495506
