round, train_acc, test_acc, f1, time_stamp
0, 0, 0.1, 0, 6351.540875673294
1, 0, 0.1094, 0, 10419.53874874115
2, 0, 0.3993, 0, 14479.6040558815
3, 0, 0.497, 0, 18641.797555923462
4, 0, 0.5326, 0, 22721.38250899315
5, 0, 0.5664, 0, 27798.699253320694
6, 0, 0.5682, 0, 33087.09865260124
7, 0, 0.5905, 0, 38478.060020923615
8, 0, 0.5975, 0, 44546.10223031044
9, 0, 0.6054, 0, 51114.79578661919
10, 0, 0.6117, 0, 56327.43626332283
11, 0, 0.6149, 0, 60916.624016046524
12, 0, 0.622, 0, 65864.68862938881
13, 0, 0.6209, 0, 70599.28063774109
14, 0, 0.6308, 0, 75277.340726614
15, 0, 0.6297, 0, 80343.67819738388
16, 0, 0.6226, 0, 85381.21786284447
17, 0, 0.6325, 0, 90818.8002216816
18, 0, 0.6286, 0, 95302.5887863636
19, 0, 0.6237, 0, 100457.71887779236
20, 0, 0.6326, 0, 105666.1935582161
21, 0, 0.6292, 0, 110430.91226649284
22, 0, 0.6284, 0, 115615.8475780487
23, 0, 0.6251, 0, 120950.5826408863
24, 0, 0.6318, 0, 126105.27721858025
25, 0, 0.6352, 0, 131488.9218738079
26, 0, 0.6366, 0, 136962.44666171074
27, 0, 0.6313, 0, 142569.2749350071
28, 0, 0.6359, 0, 148414.9918243885
29, 0, 0.6365, 0, 153310.18534350395
30, 0, 0.6306, 0, 158664.0177242756
31, 0, 0.6362, 0, 164039.8659722805
32, 0, 0.6345, 0, 169389.74805998802
33, 0, 0.6348, 0, 175064.62208366394
34, 0, 0.6405, 0, 179950.71688866615
35, 0, 0.6406, 0, 185874.64035320282
36, 0, 0.6377, 0, 191355.6140215397
37, 0, 0.6305, 0, 196253.80593681335
38, 0, 0.6324, 0, 201961.29059386253
39, 0, 0.6399, 0, 207456.84973025322
40, 0, 0.6414, 0, 212704.73194026947
41, 0, 0.6428, 0, 218553.61859464645
42, 0, 0.6445, 0, 223571.10478711128
43, 0, 0.6429, 0, 229049.7367208004
44, 0, 0.6412, 0, 234413.04061889648
45, 0, 0.6447, 0, 239790.33203220367
46, 0, 0.6325, 0, 244843.73144602776
47, 0, 0.6504, 0, 250144.02400040627
48, 0, 0.6473, 0, 255357.752171278
