,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,10,0,0.1,0,0
1,1,10,0,0.2385,0,0
2,2,10,0,0.4601,0,0
3,3,10,0,0.5099,0,0
4,4,10,0,0.5521,0,0
5,5,10,0,0.5548,0,0
6,6,10,0,0.5776,0,0
7,7,10,0,0.5842,0,0
8,8,10,0,0.5948,0,0
9,9,10,0,0.5976,0,0
10,10,10,0,0.5994,0,0
11,11,10,0,0.6014,0,0
12,12,10,0,0.6104,0,0
13,13,10,0,0.6113,0,0
14,14,10,0,0.6149,0,0
15,15,10,0,0.6182,0,0
16,16,10,0,0.6132,0,0
17,17,10,0,0.6168,0,0
18,18,10,0,0.6281,0,0
19,19,10,0,0.6232,0,0
20,20,10,0,0.6241,0,0
21,21,10,0,0.6272,0,0
22,22,10,0,0.6218,0,0
23,23,10,0,0.628,0,0
24,24,10,0,0.628,0,0
25,25,10,0,0.6281,0,0
26,26,10,0,0.6363,0,0
27,27,10,0,0.6352,0,0
28,28,10,0,0.6266,0,0
29,29,10,0,0.6283,0,0
30,30,10,0,0.638,0,0
31,31,10,0,0.6339,0,0
32,32,10,0,0.6318,0,0
33,33,10,0,0.6342,0,0
34,34,10,0,0.635,0,0
35,35,10,0,0.6307,0,0
36,36,10,0,0.6413,0,0
37,37,10,0,0.6335,0,0
38,38,10,0,0.6381,0,0
39,39,10,0,0.6296,0,0
40,40,10,0,0.6368,0,0
41,41,10,0,0.6395,0,0
42,42,10,0,0.6294,0,0
43,43,10,0,0.6345,0,0
44,44,10,0,0.6358,0,0
45,45,10,0,0.6276,0,0
46,46,10,0,0.6341,0,0
47,47,10,0,0.6294,0,0
48,48,10,0,0.6294,0,0
49,49,10,0,0.6375,0,0
