,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,10,0,0.1,0,0
1,1,10,0,0.2723,0,0
2,2,10,0,0.4049,0,0
3,3,10,0,0.4581,0,0
4,4,10,0,0.5149,0,0
5,5,10,0,0.5342,0,0
6,6,10,0,0.546,0,0
7,7,10,0,0.5515,0,0
8,8,10,0,0.5752,0,0
9,9,10,0,0.5794,0,0
10,10,10,0,0.6011,0,0
11,11,10,0,0.5896,0,0
12,12,10,0,0.6012,0,0
13,13,10,0,0.6126,0,0
14,14,10,0,0.6062,0,0
15,15,10,0,0.6231,0,0
16,16,10,0,0.6143,0,0
17,17,10,0,0.6158,0,0
18,18,10,0,0.6263,0,0
19,19,10,0,0.6233,0,0
20,20,10,0,0.6117,0,0
21,21,10,0,0.6301,0,0
22,22,10,0,0.6203,0,0
23,23,10,0,0.6228,0,0
24,24,10,0,0.631,0,0
25,25,10,0,0.6348,0,0
26,26,10,0,0.6261,0,0
27,27,10,0,0.6316,0,0
28,28,10,0,0.6261,0,0
29,29,10,0,0.6359,0,0
30,30,10,0,0.6459,0,0
31,31,10,0,0.6419,0,0
32,32,10,0,0.6349,0,0
33,33,10,0,0.6436,0,0
34,34,10,0,0.6327,0,0
35,35,10,0,0.6372,0,0
36,36,10,0,0.6352,0,0
37,37,10,0,0.6378,0,0
38,38,10,0,0.6437,0,0
39,39,10,0,0.6272,0,0
40,40,10,0,0.6522,0,0
41,41,10,0,0.6469,0,0
42,42,10,0,0.6439,0,0
43,43,10,0,0.6478,0,0
44,44,10,0,0.6472,0,0
45,45,10,0,0.6409,0,0
46,46,10,0,0.6399,0,0
47,47,10,0,0.6436,0,0
48,48,10,0,0.6519,0,0
49,49,10,0,0.6408,0,0
