round, train_acc, test_acc, f1, time_stamp
0, 0, 0.1, 0, 2274.9386472702026
1, 0, 0.1, 0, 4735.641841888428
2, 0, 0.1198, 0, 6676.285455226898
3, 0, 0.2273, 0, 8383.86813044548
4, 0, 0.264, 0, 10075.335268259048
5, 0, 0.3141, 0, 11753.923625946045
6, 0, 0.3359, 0, 13428.836211681366
7, 0, 0.3548, 0, 15085.826573610306
8, 0, 0.3748, 0, 16710.82551932335
9, 0, 0.3892, 0, 18109.48056936264
10, 0, 0.4018, 0, 19389.700977563858
11, 0, 0.4139, 0, 20702.608560562134
12, 0, 0.4216, 0, 22091.314272880554
13, 0, 0.4302, 0, 23503.852865695953
14, 0, 0.4395, 0, 24916.433073043823
15, 0, 0.4443, 0, 26329.067731142044
16, 0, 0.456, 0, 27742.03045773506
17, 0, 0.4549, 0, 29161.660175561905
18, 0, 0.4537, 0, 30582.13493990898
19, 0, 0.4751, 0, 32003.32411646843
20, 0, 0.4703, 0, 33424.26579833031
21, 0, 0.4785, 0, 34840.81511116028
22, 0, 0.4884, 0, 36492.641775369644
23, 0, 0.491, 0, 38516.26552224159
24, 0, 0.4914, 0, 40490.006845235825
25, 0, 0.4973, 0, 42433.32762789726
26, 0, 0.5013, 0, 44524.52509021759
27, 0, 0.4948, 0, 46782.50518369675
28, 0, 0.5082, 0, 48975.26289820671
29, 0, 0.5062, 0, 50919.40956377983
30, 0, 0.5112, 0, 52432.969801187515
31, 0, 0.5133, 0, 53928.0005710125
32, 0, 0.5155, 0, 55470.361122608185
33, 0, 0.5247, 0, 57011.7108540535
34, 0, 0.5253, 0, 58577.18519496918
35, 0, 0.5213, 0, 60119.35101604462
36, 0, 0.5346, 0, 61563.1819524765
37, 0, 0.533, 0, 62980.27712869644
38, 0, 0.5337, 0, 64403.77501296997
39, 0, 0.5315, 0, 65831.66042613983
40, 0, 0.5323, 0, 67256.94388246536
41, 0, 0.5405, 0, 68678.3809633255
42, 0, 0.535, 0, 70121.97624707222
43, 0, 0.5373, 0, 71589.6445043087
44, 0, 0.5424, 0, 73050.66210699081
45, 0, 0.5442, 0, 74515.05753278732
46, 0, 0.5407, 0, 75965.3926384449
47, 0, 0.5447, 0, 77396.99816513062
48, 0, 0.5485, 0, 78819.33546972275
49, 0, 0.5507, 0, 80236.77534937859
