,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,10,0,0.1,0,0
1,1,10,0,0.1,0,0
2,2,10,0,0.1,0,0
3,3,10,0,0.1002,0,0
4,4,10,0,0.2023,0,0
5,5,10,0,0.2122,0,0
6,6,10,0,0.2261,0,0
7,7,10,0,0.271,0,0
8,8,10,0,0.3297,0,0
9,9,10,0,0.367,0,0
10,10,10,0,0.3869,0,0
11,11,10,0,0.4149,0,0
12,12,10,0,0.4268,0,0
13,13,10,0,0.4555,0,0
14,14,10,0,0.4735,0,0
15,15,10,0,0.4767,0,0
16,16,10,0,0.491,0,0
17,17,10,0,0.4933,0,0
18,18,10,0,0.5003,0,0
19,19,10,0,0.5052,0,0
20,20,10,0,0.5171,0,0
21,21,10,0,0.5178,0,0
22,22,10,0,0.5242,0,0
23,23,10,0,0.5379,0,0
24,24,10,0,0.5382,0,0
25,25,10,0,0.5449,0,0
26,26,10,0,0.5422,0,0
27,27,10,0,0.5538,0,0
28,28,10,0,0.5488,0,0
29,29,10,0,0.5544,0,0
30,30,10,0,0.5663,0,0
31,31,10,0,0.5566,0,0
32,32,10,0,0.5604,0,0
33,33,10,0,0.5689,0,0
34,34,10,0,0.5765,0,0
35,35,10,0,0.5723,0,0
36,36,10,0,0.5761,0,0
37,37,10,0,0.5803,0,0
38,38,10,0,0.5802,0,0
39,39,10,0,0.5818,0,0
40,40,10,0,0.586,0,0
41,41,10,0,0.5928,0,0
42,42,10,0,0.5915,0,0
43,43,10,0,0.5886,0,0
44,44,10,0,0.5923,0,0
45,45,10,0,0.5892,0,0
46,46,10,0,0.5958,0,0
47,47,10,0,0.596,0,0
48,48,10,0,0.5998,0,0
49,49,10,0,0.5993,0,0
